carlito_syrichta ENSTSYG00000001641
saimiri_boliviensis_boliviensis ENSSBOG00000022241
propithecus_coquereli ENSPCOG00000023608
oryctolagus_cuniculus ENSOCUG00000017177
equus_asinus_asinus ENSEASG00005014622
equus_caballus ENSECAG00000008550
myotis_lucifugus ENSMLUG00000015216
sus_scrofa ENSSSCG00000000611
vicugna_pacos ENSVPAG00000002428
bison_bison_bison ENSBBBG00000011964
ovis_aries ENSOARG00000020745
tursiops_truncatus ENSTTRG00000007364
ursus_maritimus ENSUMAG00000002630
ursus_americanus ENSUAMG00000003233
neovison_vison ENSNVIG00000021684
canis_lupus_familiaris ENSCAFG00000012926
vulpes_vulpes ENSVVUG00000004424
panthera_tigris_altaica ENSPTIG00000009767
felis_catus ENSFCAG00000010814
dasypus_novemcinctus ENSDNOG00000004166
dasypus_novemcinctus ENSDNOG00000034102
cavia_porcellus ENSCPOG00000005237
pelodiscus_sinensis ENSPSIG00000003674
crocodylus_porosus ENSCPRG00005001276
