ursus_americanus ENSUAMG00000006007
ursus_maritimus ENSUMAG00000002153
canis_lupus_dingo ENSCAFG00020003620
panthera_tigris_altaica ENSPTIG00000006540
bos_mutus ENSBMUG00000011908
bos_taurus ENSBTAG00000050117
bison_bison_bison ENSBBBG00000019176
capra_hircus ENSCHIG00000017964
dipodomys_ordii ENSDORG00000001365
urocitellus_parryii ENSUPAG00010019995
prolemur_simus ENSPSMG00000020740
ailuropoda_melanoleuca ENSAMEG00000000070
carlito_syrichta ENSTSYG00000034083
octodon_degus ENSODEG00000016618
pan_troglodytes ENSPTRG00000043412
pan_paniscus ENSPPAG00000016776
macaca_fascicularis ENSMFAG00000045227
macaca_nemestrina ENSMNEG00000034775
papio_anubis ENSPANG00000031256
cercocebus_atys ENSCATG00000018986
echinops_telfairi ENSETEG00000000690
poecilia_latipinna ENSPLAG00000005692
