homo_sapiens ENSG00000173077
gorilla_gorilla ENSGGOG00000026862
pan_troglodytes ENSPTRG00000021295
pan_paniscus ENSPPAG00000043498
pongo_abelii ENSPPYG00000019539
nomascus_leucogenys ENSNLEG00000016881
macaca_fascicularis ENSMFAG00000045901
macaca_nemestrina ENSMNEG00000030200
mandrillus_leucophaeus ENSMLEG00000033340
macaca_mulatta ENSMMUG00000008951
theropithecus_gelada ENSTGEG00000027181
cercocebus_atys ENSCATG00000026641
rhinopithecus_bieti ENSRBIG00000031167
piliocolobus_tephrosceles ENSPTEG00000036164
rhinopithecus_roxellana ENSRROG00000034262
colobus_angolensis_palliatus ENSCANG00000037292
callithrix_jacchus ENSCJAG00000020418
saimiri_boliviensis_boliviensis ENSSBOG00000034353
cebus_capucinus ENSCCAG00000020587
aotus_nancymaae ENSANAG00000025589
