ovis_aries ENSOARG00000015849
capra_hircus ENSCHIG00000014921
bos_taurus ENSBTAG00000002708
bos_mutus ENSBMUG00000006146
bison_bison_bison ENSBBBG00000019921
sus_scrofa ENSSSCG00000030478
equus_asinus_asinus ENSEASG00005019361
equus_caballus ENSECAG00000026888
neovison_vison ENSNVIG00000023894
neovison_vison ENSNVIG00000016119
ursus_maritimus ENSUMAG00000003107
ursus_americanus ENSUAMG00000025405
panthera_tigris_altaica ENSPTIG00000009394
panthera_pardus ENSPPRG00000015755
panthera_tigris_altaica ENSPTIG00000019099
panthera_pardus ENSPPRG00000013218
neovison_vison ENSNVIG00000003727
ursus_maritimus ENSUMAG00000014643
felis_catus ENSFCAG00000036356
panthera_pardus ENSPPRG00000006533
felis_catus ENSFCAG00000037907
canis_lupus_dingo ENSCAFG00020016271
canis_lupus_dingo ENSCAFG00020027445
canis_lupus_familiaris ENSCAFG00000030257
vulpes_vulpes ENSVVUG00000002834
vulpes_vulpes ENSVVUG00000007253
ursus_americanus ENSUAMG00000019831
sus_scrofa ENSSSCG00000036346
vulpes_vulpes ENSVVUG00000011842
myotis_lucifugus ENSMLUG00000029623
myotis_lucifugus ENSMLUG00000023702
myotis_lucifugus ENSMLUG00000025058
marmota_marmota_marmota ENSMMMG00000008946
spermophilus_dauricus ENSSDAG00000021735
castor_canadensis ENSCCNG00000023923
prolemur_simus ENSPSMG00000019971
otolemur_garnettii ENSOGAG00000030438
ochotona_princeps ENSOPRG00000010967
cricetulus_griseus_crigri-picr ENSCGRG00015014177
cricetulus_griseus_chok1gshd ENSCGRG00001003813
cricetulus_griseus_crigri-picr ENSCGRG00015006601
cricetulus_griseus_chok1gshd ENSCGRG00001012694
cricetulus_griseus_crigri ENSCGRG00000003801
mesocricetus_auratus ENSMAUG00000018130
mesocricetus_auratus ENSMAUG00000010057
microtus_ochrogaster ENSMOCG00000013541
microtus_ochrogaster ENSMOCG00000004616
mus_musculus ENSMUSG00000062981
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016569
mus_spicilegus ENSMSIG00000026990
mus_spicilegus ENSMSIG00000005970
mus_spicilegus ENSMSIG00000019007
mus_spicilegus ENSMSIG00000015996
mus_spicilegus ENSMSIG00000016641
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015750
mus_pahari MGP_PahariEiJ_G0031335
mus_spicilegus ENSMSIG00000013855
rattus_norvegicus ENSRNOG00000042740
rattus_norvegicus ENSRNOG00000021867
rattus_norvegicus ENSRNOG00000031132
peromyscus_maniculatus_bairdii ENSPEMG00000027416
peromyscus_maniculatus_bairdii ENSPEMG00000027394
peromyscus_maniculatus_bairdii ENSPEMG00000020562
cricetulus_griseus_crigri-picr ENSCGRG00015025316
meriones_unguiculatus ENSMUGG00000022601
nannospalax_galili ENSNGAG00000000717
heterocephalus_glaber_female ENSHGLG00000008248
heterocephalus_glaber_male ENSHGLG00100013257
heterocephalus_glaber_male ENSHGLG00100018317
heterocephalus_glaber_female ENSHGLG00000007399
fukomys_damarensis ENSFDAG00000018129
octodon_degus ENSODEG00000012689
octodon_degus ENSODEG00000016452
octodon_degus ENSODEG00000008681
cavia_porcellus ENSCPOG00000030015
cavia_aperea ENSCAPG00000016985
cavia_aperea ENSCAPG00000015105
cavia_porcellus ENSCPOG00000008943
chinchilla_lanigera ENSCLAG00000005421
urocitellus_parryii ENSUPAG00010012486
