theropithecus_gelada ENSTGEG00000002140
piliocolobus_tephrosceles ENSPTEG00000006954
prolemur_simus ENSPSMG00000016464
peromyscus_maniculatus_bairdii ENSPEMG00000027417
cricetulus_griseus_crigri-picr ENSCGRG00015021825
rattus_norvegicus ENSRNOG00000024755
mus_spicilegus ENSMSIG00000029623
meriones_unguiculatus ENSMUGG00000000599
urocitellus_parryii ENSUPAG00010018562
ursus_maritimus ENSUMAG00000004280
neovison_vison ENSNVIG00000008670
canis_lupus_dingo ENSCAFG00020013223
canis_lupus_familiaris ENSCAFG00000031682
vulpes_vulpes ENSVVUG00000000107
panthera_pardus ENSPPRG00000012997
panthera_tigris_altaica ENSPTIG00000012893
felis_catus ENSFCAG00000034807
loxodonta_africana ENSLAFG00000026604
monodelphis_domestica ENSMODG00000018813
monodelphis_domestica ENSMODG00000018815
sarcophilus_harrisii ENSSHAG00000015119
phascolarctos_cinereus ENSPCIG00000003985
phascolarctos_cinereus ENSPCIG00000037295
ornithorhynchus_anatinus ENSOANG00000029989
dromaius_novaehollandiae ENSDNVG00000016653
