canis_lupus_familiaris ENSCAFG00000028855
canis_lupus_dingo ENSCAFG00020015098
vulpes_vulpes ENSVVUG00000027930
mustela_putorius_furo ENSMPUG00000006579
neovison_vison ENSNVIG00000013001
ailuropoda_melanoleuca ENSAMEG00000004980
panthera_pardus ENSPPRG00000012422
equus_asinus_asinus ENSEASG00005020440
equus_caballus ENSECAG00000016481
felis_catus ENSFCAG00000027881
bos_mutus ENSBMUG00000015461
bos_taurus ENSBTAG00000011664
bison_bison_bison ENSBBBG00000007819
capra_hircus ENSCHIG00000019347
ovis_aries ENSOARG00000003392
sus_scrofa ENSSSCG00000032669
myotis_lucifugus ENSMLUG00000025943
prolemur_simus ENSPSMG00000017402
otolemur_garnettii ENSOGAG00000029163
mandrillus_leucophaeus ENSMLEG00000040715
chlorocebus_sabaeus ENSCSAG00000001663
theropithecus_gelada ENSTGEG00000014436
piliocolobus_tephrosceles ENSPTEG00000001430
nomascus_leucogenys ENSNLEG00000031732
aotus_nancymaae ENSANAG00000035769
oryctolagus_cuniculus ENSOCUG00000029642
loxodonta_africana ENSLAFG00000030450
