pygocentrus_nattereri ENSPNAG00000024673
astyanax_mexicanus ENSAMXG00000014968
ictalurus_punctatus ENSIPUG00000005892
danio_rerio ENSDARG00000040614
esox_lucius ENSELUG00000010667
scleropages_formosus ENSSFOG00015011798
paramormyrops_kingsleyae ENSPKIG00000021147
calidris_pugnax ENSCPUG00000005282
calidris_pugnax ENSCPUG00000013202
calidris_pygmaea ENSCPGG00000016179
melopsittacus_undulatus ENSMUNG00000006641
lepidothrix_coronata ENSLCOG00000016245
manacus_vitellinus ENSMVIG00005000767
junco_hyemalis ENSJHYG00000012046
zonotrichia_albicollis ENSZALG00000017739
serinus_canaria ENSSCAG00000000419
taeniopygia_guttata ENSTGUG00000009296
lonchura_striata_domestica ENSLSDG00000011094
ficedula_albicollis ENSFALG00000003480
parus_major ENSPMJG00000018374
cyanistes_caeruleus ENSCCEG00000023385
anser_brachyrhynchus ENSABRG00000004572
anas_platyrhynchos_platyrhynchos ENSAPLG00000002954
gallus_gallus ENSGALG00000009031
coturnix_japonica ENSCJPG00005017328
numida_meleagris ENSNMEG00000022175
apteryx_owenii ENSAOWG00000004381
apteryx_haastii ENSAHAG00000014632
apteryx_rowi ENSARWG00000011725
dromaius_novaehollandiae ENSDNVG00000018881
crocodylus_porosus ENSCPRG00005013514
chrysemys_picta_bellii ENSCPBG00000001861
gopherus_agassizii ENSGAGG00000010442
pelodiscus_sinensis ENSPSIG00000009239
chelonoidis_abingdonii ENSCABG00000013123
chelonoidis_abingdonii ENSCABG00000013126
gopherus_agassizii ENSGAGG00000001224
nothoprocta_perdicaria ENSNPEG00000014397
nothoprocta_perdicaria ENSNPEG00000014396
meleagris_gallopavo ENSMGAG00000009282
anolis_carolinensis ENSACAG00000017415
pogona_vitticeps ENSPVIG00000011877
notechis_scutatus ENSNSUG00000015439
salvator_merianae ENSSMRG00000018257
sphenodon_punctatus ENSSPUG00000006345
heterocephalus_glaber_male ENSHGLG00100014995
heterocephalus_glaber_female ENSHGLG00000003644
fukomys_damarensis ENSFDAG00000014276
cavia_porcellus ENSCPOG00000025835
cavia_porcellus ENSCPOG00000036438
cavia_aperea ENSCAPG00000014668
octodon_degus ENSODEG00000009240
chinchilla_lanigera ENSCLAG00000011294
ictidomys_tridecemlineatus ENSSTOG00000010529
urocitellus_parryii ENSUPAG00010005786
spermophilus_dauricus ENSSDAG00000006027
marmota_marmota_marmota ENSMMMG00000006844
cricetulus_griseus_chok1gshd ENSCGRG00001013863
cricetulus_griseus_crigri ENSCGRG00000002175
cricetulus_griseus_crigri-picr ENSCGRG00015020783
mesocricetus_auratus ENSMAUG00000019077
peromyscus_maniculatus_bairdii ENSPEMG00000013464
microtus_ochrogaster ENSMOCG00000006024
mus_spicilegus ENSMSIG00000030299
mus_musculus ENSMUSG00000042272
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024615
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023694
mus_pahari MGP_PahariEiJ_G0025145
rattus_norvegicus ENSRNOG00000012603
meriones_unguiculatus ENSMUGG00000016813
nannospalax_galili ENSNGAG00000011145
jaculus_jaculus ENSJJAG00000021516
oryctolagus_cuniculus ENSOCUG00000017837
ochotona_princeps ENSOPRG00000012001
cebus_capucinus ENSCCAG00000019669
carlito_syrichta ENSTSYG00000026936
castor_canadensis ENSCCNG00000010521
mus_spicilegus ENSMSIG00000027715
ursus_americanus ENSUAMG00000020258
propithecus_coquereli ENSPCOG00000016645
microcebus_murinus ENSMICG00000016724
prolemur_simus ENSPSMG00000006407
otolemur_garnettii ENSOGAG00000011106
pan_troglodytes ENSPTRG00000012695
pan_paniscus ENSPPAG00000037546
homo_sapiens ENSG00000187231
gorilla_gorilla ENSGGOG00000000846
pongo_abelii ENSPPYG00000012982
nomascus_leucogenys ENSNLEG00000006220
macaca_fascicularis ENSMFAG00000013388
macaca_mulatta ENSMMUG00000019690
macaca_nemestrina ENSMNEG00000032068
theropithecus_gelada ENSTGEG00000026141
papio_anubis ENSPANG00000020529
mandrillus_leucophaeus ENSMLEG00000028453
cercocebus_atys ENSCATG00000024404
chlorocebus_sabaeus ENSCSAG00000012944
colobus_angolensis_palliatus ENSCANG00000041299
piliocolobus_tephrosceles ENSPTEG00000017411
rhinopithecus_bieti ENSRBIG00000035842
rhinopithecus_roxellana ENSRROG00000029348
callithrix_jacchus ENSCJAG00000021532
saimiri_boliviensis_boliviensis ENSSBOG00000028940
cebus_capucinus ENSCCAG00000035636
aotus_nancymaae ENSANAG00000025160
castor_canadensis ENSCCNG00000010548
dipodomys_ordii ENSDORG00000012622
carlito_syrichta ENSTSYG00000006364
choloepus_hoffmanni ENSCHOG00000003038
echinops_telfairi ENSETEG00000001090
loxodonta_africana ENSLAFG00000010863
procavia_capensis ENSPCAG00000015665
tupaia_belangeri ENSTBEG00000006676
ovis_aries ENSOARG00000016943
capra_hircus ENSCHIG00000018999
bos_mutus ENSBMUG00000011231
bos_taurus ENSBTAG00000001861
bison_bison_bison ENSBBBG00000018593
tursiops_truncatus ENSTTRG00000015984
sus_scrofa ENSSSCG00000016005
vicugna_pacos ENSVPAG00000003512
equus_asinus_asinus ENSEASG00005022309
equus_caballus ENSECAG00000011753
myotis_lucifugus ENSMLUG00000005032
pteropus_vampyrus ENSPVAG00000017559
ursus_maritimus ENSUMAG00000016664
ursus_americanus ENSUAMG00000017189
ailuropoda_melanoleuca ENSAMEG00000000338
neovison_vison ENSNVIG00000007634
mustela_putorius_furo ENSMPUG00000002454
canis_lupus_dingo ENSCAFG00020007193
canis_lupus_familiaris ENSCAFG00000014103
vulpes_vulpes ENSVVUG00000009809
panthera_pardus ENSPPRG00000001855
panthera_tigris_altaica ENSPTIG00000020064
felis_catus ENSFCAG00000018813
sorex_araneus ENSSARG00000010785
dasypus_novemcinctus ENSDNOG00000014724
erinaceus_europaeus ENSEEUG00000015565
phascolarctos_cinereus ENSPCIG00000011185
notamacropus_eugenii ENSMEUG00000009490
sarcophilus_harrisii ENSSHAG00000013771
monodelphis_domestica ENSMODG00000010177
ornithorhynchus_anatinus ENSOANG00000008646
xenopus_tropicalis ENSXETG00000015051
latimeria_chalumnae ENSLACG00000011923
lepisosteus_oculatus ENSLOCG00000006398
seriola_dumerili ENSSDUG00000010739
seriola_lalandi_dorsalis ENSSLDG00000023387
scophthalmus_maximus ENSSMAG00000004894
gasterosteus_aculeatus ENSGACG00000002091
monopterus_albus ENSMALG00000008372
amphiprion_percula ENSAPEG00000002414
amphiprion_ocellaris ENSAOCG00000008421
acanthochromis_polyacanthus ENSAPOG00000004308
stegastes_partitus ENSSPAG00000016189
labrus_bergylta ENSLBEG00000020380
mola_mola ENSMMOG00000019710
pundamilia_nyererei ENSPNYG00000010323
haplochromis_burtoni ENSHBUG00000016574
maylandia_zebra ENSMZEG00005021389
astatotilapia_calliptera ENSACLG00000024969
neolamprologus_brichardi ENSNBRG00000019237
oreochromis_niloticus ENSONIG00000006912
amphilophus_citrinellus ENSACIG00000019887
anabas_testudineus ENSATEG00000004845
mastacembelus_armatus ENSMAMG00000019161
cynoglossus_semilaevis ENSCSEG00000005650
fundulus_heteroclitus ENSFHEG00000009531
fundulus_heteroclitus ENSFHEG00000009548
xiphophorus_maculatus ENSXMAG00000001387
xiphophorus_couchianus ENSXCOG00000018542
gambusia_affinis ENSGAFG00000021152
poecilia_formosa ENSPFOG00000015184
poecilia_latipinna ENSPLAG00000001724
poecilia_mexicana ENSPMEG00000010958
poecilia_reticulata ENSPREG00000004229
cyprinodon_variegatus ENSCVAG00000011004
kryptolebias_marmoratus ENSKMAG00000004190
oryzias_latipes ENSORLG00020015237
oryzias_latipes ENSORLG00000010508
oryzias_latipes_asm223469v1 ENSORLG00015018202
oryzias_melastigma ENSOMEG00000015428
tetraodon_nigroviridis ENSTNIG00000005546
takifugu_rubripes ENSTRUG00000014532
periophthalmus_magnuspinnatus ENSPMGG00000012775
hippocampus_comes ENSHCOG00000004494
gadus_morhua ENSGMOG00000016310
petromyzon_marinus ENSPMAG00000009552
eptatretus_burgeri ENSEBUG00000007438
