anabas_testudineus ENSATEG00000008959
mastacembelus_armatus ENSMAMG00000014614
seriola_lalandi_dorsalis ENSSLDG00000008104
seriola_dumerili ENSSDUG00000004143
scophthalmus_maximus ENSSMAG00000016409
labrus_bergylta ENSLBEG00000028780
amphiprion_ocellaris ENSAOCG00000002334
amphiprion_percula ENSAPEG00000008050
acanthochromis_polyacanthus ENSAPOG00000010252
oryzias_latipes ENSORLG00020008658
oryzias_latipes_asm223469v1 ENSORLG00015002653
oryzias_melastigma ENSOMEG00000016868
xiphophorus_couchianus ENSXCOG00000020663
xiphophorus_maculatus ENSXMAG00000028341
gambusia_affinis ENSGAFG00000021909
poecilia_mexicana ENSPMEG00000022455
poecilia_latipinna ENSPLAG00000003129
poecilia_formosa ENSPFOG00000021917
kryptolebias_marmoratus ENSKMAG00000007485
cyprinodon_variegatus ENSCVAG00000013538
esox_lucius ENSELUG00000014915
pygocentrus_nattereri ENSPNAG00000010270
astyanax_mexicanus ENSAMXG00000010431
ictalurus_punctatus ENSIPUG00000011059
danio_rerio ENSDARG00000086840
scleropages_formosus ENSSFOG00015021255
lepisosteus_oculatus ENSLOCG00000004039
