lepidothrix_coronata ENSLCOG00000001764
nothoprocta_perdicaria ENSNPEG00000015981
chelonoidis_abingdonii ENSCABG00000011656
spermophilus_dauricus ENSSDAG00000024352
marmota_marmota_marmota ENSMMMG00000004671
urocitellus_parryii ENSUPAG00010000873
spermophilus_dauricus ENSSDAG00000016369
neolamprologus_brichardi ENSNBRG00000000421
amphilophus_citrinellus ENSACIG00000001826
oryzias_latipes ENSORLG00000023127
labrus_bergylta ENSLBEG00000005450
fundulus_heteroclitus ENSFHEG00000011426
hippocampus_comes ENSHCOG00000006174
