calidris_pugnax ENSCPUG00000004583
calidris_pygmaea ENSCPGG00000006558
melopsittacus_undulatus ENSMUNG00000010625
zonotrichia_albicollis ENSZALG00000004107
junco_hyemalis ENSJHYG00000018341
serinus_canaria ENSSCAG00000013836
lonchura_striata ENSLSDG00000014438
taeniopygia_guttata ENSTGUG00000013172
ficedula_albicollis ENSFALG00000001690
parus_major ENSPMJG00000012942
cyanistes_caeruleus ENSCCEG00000010779
lepidothrix_coronata ENSLCOG00000010046
gallus_gallus ENSGALG00000016492
meleagris_gallopavo ENSMGAG00000014046
coturnix_japonica ENSCJPG00005011633
numida_meleagris ENSNMEG00000006575
anas_platyrhynchos ENSAPLG00000017833
apteryx_owenii ENSAOWG00000013256
apteryx_haastii ENSAHAG00000017004
apteryx_rowi ENSARWG00000014348
dromaius_novaehollandiae ENSDNVG00000007893
nothoprocta_perdicaria ENSNPEG00000009081
crocodylus_porosus ENSCPRG00005004718
gopherus_agassizii ENSGAGG00000000647
chelonoidis_abingdonii ENSCABG00000012111
chrysemys_picta ENSCPBG00000020009
pogona_vitticeps ENSPVIG00000002754
anolis_carolinensis ENSACAG00000010836
notechis_scutatus ENSNSUG00000000737
salvator_merianae ENSSMRG00000004493
ovis_aries ENSOARG00000019474
capra_hircus ENSCHIG00000024751
bos_indicus ENSBIXG00005026149
bos_mutus ENSBMUG00000005920
bos_taurus ENSBTAG00000051889
bison_bison ENSBBBG00000004866
bos_indicus ENSBIXG00000021532
tursiops_truncatus ENSTTRG00000000081
vicugna_pacos ENSVPAG00000011345
myotis_lucifugus ENSMLUG00000007897
ursus_americanus ENSUAMG00000003885
ursus_maritimus ENSUMAG00000023037
ailuropoda_melanoleuca ENSAMEG00000013083
neovison_vison ENSNVIG00000012820
mustela_putorius ENSMPUG00000013753
canis_lupus ENSCAFG00000030832
canis_lupus ENSCAFG00020025627
vulpes_vulpes ENSVVUG00000014860
panthera_pardus ENSPPRG00000020099
panthera_tigris ENSPTIG00000006858
felis_catus ENSFCAG00000035443
sorex_araneus ENSSARG00000000178
equus_caballus ENSECAG00000008581
equus_asinus ENSEASG00005009473
erinaceus_europaeus ENSEEUG00000013132
homo_sapiens ENSG00000218819
gorilla_gorilla ENSGGOG00000026710
pan_troglodytes ENSPTRG00000024174
pan_paniscus ENSPPAG00000032970
nomascus_leucogenys ENSNLEG00000028338
theropithecus_gelada ENSTGEG00000018910
papio_anubis ENSPANG00000009392
cercocebus_atys ENSCATG00000014633
mandrillus_leucophaeus ENSMLEG00000023764
macaca_fascicularis ENSMFAG00000040495
macaca_mulatta ENSMMUG00000048513
macaca_nemestrina ENSMNEG00000018389
chlorocebus_sabaeus ENSCSAG00000000380
rhinopithecus_roxellana ENSRROG00000012190
rhinopithecus_bieti ENSRBIG00000029133
colobus_angolensis ENSCANG00000016494
callithrix_jacchus ENSCJAG00000007582
aotus_nancymaae ENSANAG00000026523
oryctolagus_cuniculus ENSOCUG00000005346
mus_spicilegus ENSMSIG00000004538
rattus_norvegicus ENSRNOG00000060052
meriones_unguiculatus ENSMUGG00000000865
cricetulus_griseus ENSCGRG00015027087
peromyscus_maniculatus ENSPEMG00000029395
castor_canadensis ENSCCNG00000015862
spermophilus_dauricus ENSSDAG00000009309
ictidomys_tridecemlineatus ENSSTOG00000027567
urocitellus_parryii ENSUPAG00010008953
marmota_marmota ENSMMMG00000022048
prolemur_simus ENSPSMG00000006790
propithecus_coquereli ENSPCOG00000017764
microcebus_murinus ENSMICG00000026358
otolemur_garnettii ENSOGAG00000026095
tupaia_belangeri ENSTBEG00000016302
dasypus_novemcinctus ENSDNOG00000042253
choloepus_hoffmanni ENSCHOG00000007664
loxodonta_africana ENSLAFG00000026920
echinops_telfairi ENSETEG00000002338
vombatus_ursinus ENSVURG00010020501
vombatus_ursinus ENSVURG00010019604
phascolarctos_cinereus ENSPCIG00000007414
notamacropus_eugenii ENSMEUG00000000062
sarcophilus_harrisii ENSSHAG00000010859
ornithorhynchus_anatinus ENSOANG00000003377
xenopus_tropicalis ENSXETG00000004395
latimeria_chalumnae ENSLACG00000014578
astyanax_mexicanus ENSAMXG00000025061
astyanax_mexicanus ENSAMXG00005018581
pygocentrus_nattereri ENSPNAG00000012015
electrophorus_electricus ENSEEEG00000007494
ictalurus_punctatus ENSIPUG00000020830
danio_rerio ENSDARG00000014039
denticeps_clupeoides ENSDCDG00000028345
hucho_hucho ENSHHUG00000030198
esox_lucius ENSELUG00000021445
takifugu_rubripes ENSTRUG00000008435
tetraodon_nigroviridis ENSTNIG00000000258
gouania_willdenowi ENSGWIG00000006500
monopterus_albus ENSMALG00000003324
mastacembelus_armatus ENSMAMG00000017996
anabas_testudineus ENSATEG00000021977
