scophthalmus_maximus ENSSMAG00000017374
cynoglossus_semilaevis ENSCSEG00000005729
seriola_lalandi_dorsalis ENSSLDG00000016648
hippocampus_comes ENSHCOG00000020682
mastacembelus_armatus ENSMAMG00000021519
anabas_testudineus ENSATEG00000014725
fundulus_heteroclitus ENSFHEG00000014864
cyprinodon_variegatus ENSCVAG00000006763
poecilia_latipinna ENSPLAG00000003385
poecilia_mexicana ENSPMEG00000005316
poecilia_reticulata ENSPREG00000015087
gambusia_affinis ENSGAFG00000016625
xiphophorus_maculatus ENSXMAG00000025705
oryzias_melastigma ENSOMEG00000018236
oryzias_latipes_asm223469v1 ENSORLG00015000474
neolamprologus_brichardi ENSNBRG00000000730
