capra_hircus ENSCHIG00000011952
bos_mutus ENSBMUG00000015620
tursiops_truncatus ENSTTRG00000000771
sus_scrofa ENSSSCG00000002988
vicugna_pacos ENSVPAG00000001661
pteropus_vampyrus ENSPVAG00000004375
equus_caballus ENSECAG00000022748
equus_asinus_asinus ENSEASG00005011578
erinaceus_europaeus ENSEEUG00000015426
pan_troglodytes ENSPTRG00000010987
pan_paniscus ENSPPAG00000037087
homo_sapiens ENSG00000187187
gorilla_gorilla ENSGGOG00000000019
pongo_abelii ENSPPYG00000009983
piliocolobus_tephrosceles ENSPTEG00000036981
colobus_angolensis_palliatus ENSCANG00000038046
rhinopithecus_roxellana ENSRROG00000020484
rhinopithecus_bieti ENSRBIG00000035820
papio_anubis ENSPANG00000004842
theropithecus_gelada ENSTGEG00000024746
cercocebus_atys ENSCATG00000043166
mandrillus_leucophaeus ENSMLEG00000039582
macaca_fascicularis ENSMFAG00000043709
macaca_mulatta ENSMMUG00000017191
macaca_nemestrina ENSMNEG00000039366
chlorocebus_sabaeus ENSCSAG00000003769
callithrix_jacchus ENSCJAG00000014496
cebus_capucinus ENSCCAG00000034995
saimiri_boliviensis_boliviensis ENSSBOG00000035091
aotus_nancymaae ENSANAG00000020598
carlito_syrichta ENSTSYG00000006085
microcebus_murinus ENSMICG00000042581
propithecus_coquereli ENSPCOG00000024725
otolemur_garnettii ENSOGAG00000005397
urocitellus_parryii ENSUPAG00010022553
marmota_marmota_marmota ENSMMMG00000020674
spermophilus_dauricus ENSSDAG00000000560
ictidomys_tridecemlineatus ENSSTOG00000032007
dasypus_novemcinctus ENSDNOG00000041023
choloepus_hoffmanni ENSCHOG00000010003
procavia_capensis ENSPCAG00000016437
