urocitellus_parryii ENSUPAG00010020268
ictidomys_tridecemlineatus ENSSTOG00000020002
marmota_marmota_marmota ENSMMMG00000010310
spermophilus_dauricus ENSSDAG00000005645
heterocephalus_glaber_female ENSHGLG00000012415
heterocephalus_glaber_male ENSHGLG00100016179
castor_canadensis ENSCCNG00000028884
dipodomys_ordii ENSDORG00000016430
cebus_capucinus ENSCCAG00000037431
callithrix_jacchus ENSCJAG00000042253
saimiri_boliviensis_boliviensis ENSSBOG00000027091
aotus_nancymaae ENSANAG00000025920
pan_paniscus ENSPPAG00000022561
pan_troglodytes ENSPTRG00000033893
homo_sapiens ENSG00000228727
gorilla_gorilla ENSGGOG00000011351
pongo_abelii ENSPPYG00000016458
nomascus_leucogenys ENSNLEG00000006328
rhinopithecus_bieti ENSRBIG00000044186
rhinopithecus_roxellana ENSRROG00000033563
colobus_angolensis_palliatus ENSCANG00000034831
piliocolobus_tephrosceles ENSPTEG00000037208
macaca_fascicularis ENSMFAG00000000084
macaca_mulatta ENSMMUG00000045974
macaca_nemestrina ENSMNEG00000033869
theropithecus_gelada ENSTGEG00000029398
cercocebus_atys ENSCATG00000033410
mandrillus_leucophaeus ENSMLEG00000027426
papio_anubis ENSPANG00000022232
chlorocebus_sabaeus ENSCSAG00000008729
carlito_syrichta ENSTSYG00000001565
propithecus_coquereli ENSPCOG00000017625
microcebus_murinus ENSMICG00000030120
prolemur_simus ENSPSMG00000018279
oryctolagus_cuniculus ENSOCUG00000027991
ochotona_princeps ENSOPRG00000018415
chinchilla_lanigera ENSCLAG00000006758
octodon_degus ENSODEG00000017689
cavia_aperea ENSCAPG00000013260
cavia_porcellus ENSCPOG00000024345
mus_musculus ENSMUSG00000036185
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022398
mus_spicilegus ENSMSIG00000006135
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021493
mus_pahari MGP_PahariEiJ_G0020488
rattus_norvegicus ENSRNOG00000000858
meriones_unguiculatus ENSMUGG00000002436
cricetulus_griseus_crigri ENSCGRG00000015677
cricetulus_griseus_chok1gshd ENSCGRG00001001962
cricetulus_griseus_crigri-picr ENSCGRG00015028449
mesocricetus_auratus ENSMAUG00000012648
microtus_ochrogaster ENSMOCG00000000928
peromyscus_maniculatus_bairdii ENSPEMG00000030346
nannospalax_galili ENSNGAG00000022475
equus_caballus ENSECAG00000003550
equus_asinus_asinus ENSEASG00005015709
pteropus_vampyrus ENSPVAG00000012393
bos_taurus ENSBTAG00000039620
bos_mutus ENSBMUG00000014622
bison_bison_bison ENSBBBG00000017720
capra_hircus ENSCHIG00000018682
ovis_aries ENSOARG00000004945
tursiops_truncatus ENSTTRG00000014124
sus_scrofa ENSSSCG00000036076
vicugna_pacos ENSVPAG00000011479
ursus_americanus ENSUAMG00000012162
ailuropoda_melanoleuca ENSAMEG00000006366
neovison_vison ENSNVIG00000015392
mustela_putorius_furo ENSMPUG00000010984
canis_lupus_dingo ENSCAFG00020020757
canis_lupus_familiaris ENSCAFG00000000628
vulpes_vulpes ENSVVUG00000021171
panthera_tigris_altaica ENSPTIG00000011539
panthera_pardus ENSPPRG00000012516
felis_catus ENSFCAG00000025141
loxodonta_africana ENSLAFG00000020972
procavia_capensis ENSPCAG00000013434
vicugna_pacos ENSVPAG00000001755
pogona_vitticeps ENSPVIG00000008016
anolis_carolinensis ENSACAG00000017309
salvator_merianae ENSSMRG00000008807
notechis_scutatus ENSNSUG00000017489
