monopterus_albus ENSMALG00000020447
mastacembelus_armatus ENSMAMG00000012576
anabas_testudineus ENSATEG00000021835
betta_splendens ENSBSLG00000012322
tetraodon_nigroviridis ENSTNIG00000019657
takifugu_rubripes ENSTRUG00000005408
mola_mola ENSMMOG00000006495
gasterosteus_aculeatus ENSGACG00000005747
larimichthys_crocea ENSLCRG00005010546
cottoperca_gobio ENSCGOG00000011964
labrus_bergylta ENSLBEG00000018065
amphiprion_ocellaris ENSAOCG00000006930
amphiprion_percula ENSAPEG00000024575
acanthochromis_polyacanthus ENSAPOG00000006381
stegastes_partitus ENSSPAG00000000230
parambassis_ranga ENSPRNG00000021612
cyprinodon_variegatus ENSCVAG00000010842
fundulus_heteroclitus ENSFHEG00000013188
poecilia_formosa ENSPFOG00000003110
poecilia_mexicana ENSPMEG00000009491
poecilia_latipinna ENSPLAG00000006603
poecilia_reticulata ENSPREG00000008808
xiphophorus_couchianus ENSXCOG00000004445
xiphophorus_maculatus ENSXMAG00000020824
gambusia_affinis ENSGAFG00000013267
kryptolebias_marmoratus ENSKMAG00000004569
oryzias_latipes ENSORLG00000008571
oryzias_latipes ENSORLG00020019992
oryzias_latipes ENSORLG00015001361
oryzias_melastigma ENSOMEG00000018164
maylandia_zebra ENSMZEG00005027505
astatotilapia_calliptera ENSACLG00000011953
haplochromis_burtoni ENSHBUG00000023526
pundamilia_nyererei ENSPNYG00000001121
oreochromis_niloticus ENSONIG00000016619
amphilophus_citrinellus ENSACIG00000002631
gouania_willdenowi ENSGWIG00000007515
scophthalmus_maximus ENSSMAG00000000201
cynoglossus_semilaevis ENSCSEG00000014876
seriola_dumerili ENSSDUG00000010530
seriola_lalandi ENSSLDG00000025086
lates_calcarifer ENSLCAG00010015253
hippocampus_comes ENSHCOG00000016976
periophthalmus_magnuspinnatus ENSPMGG00000013367
gadus_morhua ENSGMOG00000014240
hucho_hucho ENSHHUG00000047080
hucho_hucho ENSHHUG00000029687
esox_lucius ENSELUG00000019819
astyanax_mexicanus ENSAMXG00000044113
astyanax_mexicanus ENSAMXG00005010436
pygocentrus_nattereri ENSPNAG00000002307
ictalurus_punctatus ENSIPUG00000008099
electrophorus_electricus ENSEEEG00000015419
danio_rerio ENSDARG00000011488
scleropages_formosus ENSSFOG00015006983
paramormyrops_kingsleyae ENSPKIG00000008494
denticeps_clupeoides ENSDCDG00000030152
lepisosteus_oculatus ENSLOCG00000014292
erpetoichthys_calabaricus ENSECRG00000002580
vombatus_ursinus ENSVURG00010023317
phascolarctos_cinereus ENSPCIG00000010538
notamacropus_eugenii ENSMEUG00000012039
sarcophilus_harrisii ENSSHAG00000000103
monodelphis_domestica ENSMODG00000025574
loxodonta_africana ENSLAFG00000021425
echinops_telfairi ENSETEG00000006258
pteropus_vampyrus ENSPVAG00000011600
myotis_lucifugus ENSMLUG00000000986
equus_caballus ENSECAG00000023223
equus_asinus ENSEASG00005019549
ursus_americanus ENSUAMG00000010998
ursus_maritimus ENSUMAG00000019203
ailuropoda_melanoleuca ENSAMEG00000008795
mustela_putorius ENSMPUG00000017753
neovison_vison ENSNVIG00000009932
canis_lupus ENSCAFG00020017308
canis_lupus ENSCAFG00000005638
vulpes_vulpes ENSVVUG00000006453
felis_catus ENSFCAG00000003185
panthera_pardus ENSPPRG00000024291
erinaceus_europaeus ENSEEUG00000004582
bos_indicus ENSBIXG00000016482
bos_indicus ENSBIXG00005013603
bos_taurus ENSBTAG00000001776
bos_mutus ENSBMUG00000014538
bison_bison ENSBBBG00000019186
capra_hircus ENSCHIG00000019782
ovis_aries ENSOARG00000005883
tursiops_truncatus ENSTTRG00000011788
sus_scrofa ENSSSCG00000026794
choloepus_hoffmanni ENSCHOG00000001333
tupaia_belangeri ENSTBEG00000007952
panthera_tigris ENSPTIG00000007225
dasypus_novemcinctus ENSDNOG00000000567
castor_canadensis ENSCCNG00000026413
dipodomys_ordii ENSDORG00000001540
mus_musculus ENSMUSG00000015149
mus_spicilegus ENSMSIG00000023341
mus_spretus MGP_SPRETEiJ_G0030557
mus_caroli MGP_CAROLIEiJ_G0029461
mus_pahari MGP_PahariEiJ_G0012695
rattus_norvegicus ENSRNOG00000020102
meriones_unguiculatus ENSMUGG00000023269
cricetulus_griseus ENSCGRG00001020566
cricetulus_griseus ENSCGRG00015026068
cricetulus_griseus ENSCGRG00000016944
mesocricetus_auratus ENSMAUG00000018805
peromyscus_maniculatus ENSPEMG00000018255
microtus_ochrogaster ENSMOCG00000013313
nannospalax_galili ENSNGAG00000020590
jaculus_jaculus ENSJJAG00000012731
heterocephalus_glaber ENSHGLG00000007241
heterocephalus_glaber ENSHGLG00100017749
fukomys_damarensis ENSFDAG00000011389
chinchilla_lanigera ENSCLAG00000013560
octodon_degus ENSODEG00000015940
cavia_porcellus ENSCPOG00000011320
cavia_aperea ENSCAPG00000012954
ictidomys_tridecemlineatus ENSSTOG00000020829
urocitellus_parryii ENSUPAG00010009610
marmota_marmota ENSMMMG00000000373
spermophilus_dauricus ENSSDAG00000002175
ochotona_princeps ENSOPRG00000004595
oryctolagus_cuniculus ENSOCUG00000027924
pan_paniscus ENSPPAG00000036095
pan_troglodytes ENSPTRG00000010945
homo_sapiens ENSG00000068903
gorilla_gorilla ENSGGOG00000002487
pongo_abelii ENSPPYG00000009947
nomascus_leucogenys ENSNLEG00000014603
macaca_mulatta ENSMMUG00000023640
macaca_nemestrina ENSMNEG00000028764
macaca_fascicularis ENSMFAG00000043187
chlorocebus_sabaeus ENSCSAG00000003944
mandrillus_leucophaeus ENSMLEG00000043627
papio_anubis ENSPANG00000019522
cercocebus_atys ENSCATG00000029875
theropithecus_gelada ENSTGEG00000003322
colobus_angolensis ENSCANG00000036047
piliocolobus_tephrosceles ENSPTEG00000001281
rhinopithecus_roxellana ENSRROG00000043495
rhinopithecus_bieti ENSRBIG00000042700
cebus_capucinus ENSCCAG00000022224
saimiri_boliviensis ENSSBOG00000019146
callithrix_jacchus ENSCJAG00000013969
aotus_nancymaae ENSANAG00000033015
