microcebus_murinus ENSMICG00000006392
prolemur_simus ENSPSMG00000006618
otolemur_garnettii ENSOGAG00000027112
pongo_abelii ENSPPYG00000020776
theropithecus_gelada ENSTGEG00000003898
callithrix_jacchus ENSCJAG00000056937
cricetulus_griseus ENSCGRG00001010626
cricetulus_griseus ENSCGRG00015010302
cricetulus_griseus ENSCGRG00000010895
mesocricetus_auratus ENSMAUG00000019340
peromyscus_maniculatus ENSPEMG00000023742
microtus_ochrogaster ENSMOCG00000006923
mus_musculus ENSMUSG00000046180
mus_spretus MGP_SPRETEiJ_G0034257
mus_spicilegus ENSMSIG00000002298
mus_caroli MGP_CAROLIEiJ_G0033103
mus_pahari MGP_PahariEiJ_G0031645
rattus_norvegicus ENSRNOG00000003532
meriones_unguiculatus ENSMUGG00000020523
jaculus_jaculus ENSJJAG00000010090
fukomys_damarensis ENSFDAG00000013441
castor_canadensis ENSCCNG00000000939
castor_canadensis ENSCCNG00000012399
marmota_marmota ENSMMMG00000012790
urocitellus_parryii ENSUPAG00010012907
castor_canadensis ENSCCNG00000005635
castor_canadensis ENSCCNG00000021999
fukomys_damarensis ENSFDAG00000002336
fukomys_damarensis ENSFDAG00000005206
ursus_maritimus ENSUMAG00000010764
ursus_americanus ENSUAMG00000003867
ailuropoda_melanoleuca ENSAMEG00000019776
mustela_putorius ENSMPUG00000018744
neovison_vison ENSNVIG00000001107
canis_lupus ENSCAFG00000018988
canis_lupus ENSCAFG00020024507
panthera_tigris ENSPTIG00000001144
panthera_pardus ENSPPRG00000011946
equus_asinus ENSEASG00005015973
equus_caballus ENSECAG00000018006
ovis_aries ENSOARG00000010738
capra_hircus ENSCHIG00000014787
bos_taurus ENSBTAG00000018323
bos_indicus ENSBIXG00005025744
bos_mutus ENSBMUG00000023576
tursiops_truncatus ENSTTRG00000016034
sus_scrofa ENSSSCG00000012709
myotis_lucifugus ENSMLUG00000005622
myotis_lucifugus ENSMLUG00000001430
myotis_lucifugus ENSMLUG00000029760
myotis_lucifugus ENSMLUG00000027139
myotis_lucifugus ENSMLUG00000028299
pteropus_vampyrus ENSPVAG00000001438
pteropus_vampyrus ENSPVAG00000004805
bos_taurus ENSBTAG00000019009
bos_taurus ENSBTAG00000051652
bos_mutus ENSBMUG00000011124
bos_indicus ENSBIXG00005027055
ovis_aries ENSOARG00000000494
ovis_aries ENSOARG00000009410
ovis_aries ENSOARG00000007410
sus_scrofa ENSSSCG00000022384
equus_caballus ENSECAG00000006623
equus_asinus ENSEASG00005023014
vicugna_pacos ENSVPAG00000007417
erinaceus_europaeus ENSEEUG00000007114
marmota_marmota ENSMMMG00000012453
castor_canadensis ENSCCNG00000028420
oryctolagus_cuniculus ENSOCUG00000007734
loxodonta_africana ENSLAFG00000014412
procavia_capensis ENSPCAG00000008252
loxodonta_africana ENSLAFG00000021898
procavia_capensis ENSPCAG00000009953
echinops_telfairi ENSETEG00000019781
dasypus_novemcinctus ENSDNOG00000039524
dasypus_novemcinctus ENSDNOG00000049250
dasypus_novemcinctus ENSDNOG00000035810
