theropithecus_gelada ENSTGEG00000011688
piliocolobus_tephrosceles ENSPTEG00000007304
carlito_syrichta ENSTSYG00000032379
propithecus_coquereli ENSPCOG00000015620
microcebus_murinus ENSMICG00000046510
microtus_ochrogaster ENSMOCG00000007565
mesocricetus_auratus ENSMAUG00000021741
jaculus_jaculus ENSJJAG00000017931
octodon_degus ENSODEG00000000331
cavia_porcellus ENSCPOG00000009248
castor_canadensis ENSCCNG00000019570
spermophilus_dauricus ENSSDAG00000018110
ictidomys_tridecemlineatus ENSSTOG00000003551
canis_lupus ENSCAFG00000047847
canis_lupus ENSCAFG00020022044
