coturnix_japonica ENSCJPG00005014573
numida_meleagris ENSNMEG00000022634
anser_brachyrhynchus ENSABRG00000004154
junco_hyemalis ENSJHYG00000018404
ficedula_albicollis ENSFALG00000006821
taeniopygia_guttata ENSTGUG00000010714
lonchura_striata ENSLSDG00000010402
serinus_canaria ENSSCAG00000000371
parus_major ENSPMJG00000019133
zonotrichia_albicollis ENSZALG00000004083
lepidothrix_coronata ENSLCOG00000001151
manacus_vitellinus ENSMVIG00005008884
calidris_pugnax ENSCPUG00000000151
calidris_pygmaea ENSCPGG00000008492
melopsittacus_undulatus ENSMUNG00000010201
anas_platyrhynchos ENSAPLG00000016725
anas_platyrhynchos ENSAPLG00000029007
calidris_pugnax ENSCPUG00000000147
apteryx_haastii ENSAHAG00000012857
apteryx_rowi ENSARWG00000004134
nothoprocta_perdicaria ENSNPEG00000014686
chelonoidis_abingdonii ENSCABG00000012419
gopherus_agassizii ENSGAGG00000014580
chrysemys_picta ENSCPBG00000007408
pogona_vitticeps ENSPVIG00000020982
anolis_carolinensis ENSACAG00000010184
notechis_scutatus ENSNSUG00000015549
salvator_merianae ENSSMRG00000006644
sphenodon_punctatus ENSSPUG00000007301
vombatus_ursinus ENSVURG00010011258
phascolarctos_cinereus ENSPCIG00000021315
notamacropus_eugenii ENSMEUG00000014408
monodelphis_domestica ENSMODG00000009610
bos_indicus ENSBIXG00005008890
bos_indicus ENSBIXG00000013225
bos_taurus ENSBTAG00000011962
bos_mutus ENSBMUG00000024238
bison_bison ENSBBBG00000006753
capra_hircus ENSCHIG00000024591
ovis_aries ENSOARG00000009594
tursiops_truncatus ENSTTRG00000010266
sus_scrofa ENSSSCG00000010023
vicugna_pacos ENSVPAG00000000247
equus_caballus ENSECAG00000025066
equus_asinus ENSEASG00005010433
ursus_maritimus ENSUMAG00000015999
ursus_americanus ENSUAMG00000010048
ailuropoda_melanoleuca ENSAMEG00000007198
neovison_vison ENSNVIG00000001273
mustela_putorius ENSMPUG00000012845
canis_lupus ENSCAFG00000012981
canis_lupus ENSCAFG00020001374
vulpes_vulpes ENSVVUG00000002387
felis_catus ENSFCAG00000001316
panthera_pardus ENSPPRG00000002952
pteropus_vampyrus ENSPVAG00000001741
myotis_lucifugus ENSMLUG00000009462
mus_spicilegus ENSMSIG00000003865
mus_spretus MGP_SPRETEiJ_G0016850
mus_musculus ENSMUSG00000034579
mus_caroli MGP_CAROLIEiJ_G0016011
mus_pahari MGP_PahariEiJ_G0016880
rattus_norvegicus ENSRNOG00000025121
meriones_unguiculatus ENSMUGG00000018643
cricetulus_griseus ENSCGRG00000005179
cricetulus_griseus ENSCGRG00001023730
cricetulus_griseus ENSCGRG00015027984
mesocricetus_auratus ENSMAUG00000022002
peromyscus_maniculatus ENSPEMG00000012793
microtus_ochrogaster ENSMOCG00000004514
nannospalax_galili ENSNGAG00000010285
jaculus_jaculus ENSJJAG00000021202
castor_canadensis ENSCCNG00000003841
chinchilla_lanigera ENSCLAG00000009961
octodon_degus ENSODEG00000003732
cavia_porcellus ENSCPOG00000012383
heterocephalus_glaber ENSHGLG00000008744
heterocephalus_glaber ENSHGLG00100009846
fukomys_damarensis ENSFDAG00000002836
urocitellus_parryii ENSUPAG00010020956
spermophilus_dauricus ENSSDAG00000007760
ictidomys_tridecemlineatus ENSSTOG00000002253
marmota_marmota ENSMMMG00000014264
oryctolagus_cuniculus ENSOCUG00000004123
ochotona_princeps ENSOPRG00000002192
tupaia_belangeri ENSTBEG00000001885
pan_paniscus ENSPPAG00000029623
pan_troglodytes ENSPTRG00000014263
homo_sapiens ENSG00000100078
gorilla_gorilla ENSGGOG00000002648
pongo_abelii ENSPPYG00000011728
nomascus_leucogenys ENSNLEG00000004269
macaca_fascicularis ENSMFAG00000030936
macaca_nemestrina ENSMNEG00000044339
macaca_mulatta ENSMMUG00000050471
papio_anubis ENSPANG00000024406
theropithecus_gelada ENSTGEG00000022366
cercocebus_atys ENSCATG00000044450
mandrillus_leucophaeus ENSMLEG00000039497
chlorocebus_sabaeus ENSCSAG00000008789
colobus_angolensis ENSCANG00000030793
piliocolobus_tephrosceles ENSPTEG00000024147
rhinopithecus_bieti ENSRBIG00000039906
rhinopithecus_roxellana ENSRROG00000045058
callithrix_jacchus ENSCJAG00000010853
saimiri_boliviensis ENSSBOG00000033546
cebus_capucinus ENSCCAG00000036152
aotus_nancymaae ENSANAG00000017096
carlito_syrichta ENSTSYG00000001374
prolemur_simus ENSPSMG00000017941
propithecus_coquereli ENSPCOG00000027593
microcebus_murinus ENSMICG00000008571
otolemur_garnettii ENSOGAG00000014558
loxodonta_africana ENSLAFG00000012538
procavia_capensis ENSPCAG00000006648
sorex_araneus ENSSARG00000005714
erinaceus_europaeus ENSEEUG00000009093
dasypus_novemcinctus ENSDNOG00000004597
ornithorhynchus_anatinus ENSOANG00000000229
xenopus_tropicalis ENSXETG00000016424
latimeria_chalumnae ENSLACG00000018216
callorhinchus_milii ENSCMIG00000016682
