pteropus_vampyrus ENSPVAG00000013134
vicugna_pacos ENSVPAG00000006606
pan_paniscus ENSPPAG00000036138
pan_troglodytes ENSPTRG00000006906
homo_sapiens ENSG00000175779
nomascus_leucogenys ENSNLEG00000028622
macaca_nemestrina ENSMNEG00000034537
macaca_fascicularis ENSMFAG00000045180
macaca_mulatta ENSMMUG00000041220
cercocebus_atys ENSCATG00000038094
papio_anubis ENSPANG00000033646
rhinopithecus_bieti ENSRBIG00000043657
rhinopithecus_roxellana ENSRROG00000020725
aotus_nancymaae ENSANAG00000027154
choloepus_hoffmanni ENSCHOG00000001773
