mola_mola ENSMMOG00000010843
tetraodon_nigroviridis ENSTNIG00000003765
labrus_bergylta ENSLBEG00000012407
scophthalmus_maximus ENSSMAG00000015214
gasterosteus_aculeatus ENSGACG00000000253
seriola_dumerili ENSSDUG00000000624
seriola_lalandi_dorsalis ENSSLDG00000011055
anabas_testudineus ENSATEG00000021275
xiphophorus_maculatus ENSXMAG00000013373
poecilia_formosa ENSPFOG00000011533
periophthalmus_magnuspinnatus ENSPMGG00000006343
poecilia_latipinna ENSPLAG00000012900
poecilia_latipinna ENSPLAG00000000297
cyprinodon_variegatus ENSCVAG00000001333
cyprinodon_variegatus ENSCVAG00000001331
maylandia_zebra ENSMZEG00005026813
astatotilapia_calliptera ENSACLG00000011747
pundamilia_nyererei ENSPNYG00000005634
haplochromis_burtoni ENSHBUG00000015173
oreochromis_niloticus ENSONIG00000014673
amphilophus_citrinellus ENSACIG00000000664
oryzias_melastigma ENSOMEG00000015164
oryzias_melastigma ENSOMEG00000015187
acanthochromis_polyacanthus ENSAPOG00000015476
stegastes_partitus ENSSPAG00000012596
amphiprion_ocellaris ENSAOCG00000001984
hippocampus_comes ENSHCOG00000005535
hippocampus_comes ENSHCOG00000005615
monopterus_albus ENSMALG00000019089
mastacembelus_armatus ENSMAMG00000013477
cynoglossus_semilaevis ENSCSEG00000018693
amphiprion_ocellaris ENSAOCG00000009349
neolamprologus_brichardi ENSNBRG00000010698
kryptolebias_marmoratus ENSKMAG00000003459
labrus_bergylta ENSLBEG00000024032
fundulus_heteroclitus ENSFHEG00000000755
fundulus_heteroclitus ENSFHEG00000002140
xiphophorus_couchianus ENSXCOG00000016893
xiphophorus_couchianus ENSXCOG00000016889
poecilia_reticulata ENSPREG00000005049
poecilia_reticulata ENSPREG00000005029
poecilia_mexicana ENSPMEG00000003319
cyprinodon_variegatus ENSCVAG00000001327
gambusia_affinis ENSGAFG00000017780
stegastes_partitus ENSSPAG00000015834
acanthochromis_polyacanthus ENSAPOG00000023511
amphiprion_ocellaris ENSAOCG00000009291
labrus_bergylta ENSLBEG00000024005
takifugu_rubripes ENSTRUG00000025060
oryzias_latipes ENSORLG00000018298
oryzias_latipes ENSORLG00020004221
oryzias_latipes_asm223469v1 ENSORLG00015019249
amphiprion_percula ENSAPEG00000023201
gadus_morhua ENSGMOG00000012713
esox_lucius ENSELUG00000010872
pygocentrus_nattereri ENSPNAG00000006525
pygocentrus_nattereri ENSPNAG00000023489
ictalurus_punctatus ENSIPUG00000002672
danio_rerio ENSDARG00000061741
scleropages_formosus ENSSFOG00015022955
paramormyrops_kingsleyae ENSPKIG00000004648
lepisosteus_oculatus ENSLOCG00000012422
ochotona_princeps ENSOPRG00000004316
piliocolobus_tephrosceles ENSPTEG00000022743
equus_asinus_asinus ENSEASG00005020906
equus_caballus ENSECAG00000007328
erinaceus_europaeus ENSEEUG00000006066
ailuropoda_melanoleuca ENSAMEG00000001124
ursus_americanus ENSUAMG00000000807
neovison_vison ENSNVIG00000012548
canis_lupus_familiaris ENSCAFG00000001130
felis_catus ENSFCAG00000013659
panthera_pardus ENSPPRG00000011688
ursus_maritimus ENSUMAG00000011124
mustela_putorius_furo ENSMPUG00000002462
panthera_tigris_altaica ENSPTIG00000003549
pteropus_vampyrus ENSPVAG00000000784
myotis_lucifugus ENSMLUG00000011877
castor_canadensis ENSCCNG00000026134
dipodomys_ordii ENSDORG00000001447
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022208
mus_spicilegus ENSMSIG00000004883
mus_musculus ENSMUSG00000042644
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021295
mus_pahari MGP_PahariEiJ_G0023613
rattus_norvegicus ENSRNOG00000052795
meriones_unguiculatus ENSMUGG00000018585
peromyscus_maniculatus_bairdii ENSPEMG00000010465
microtus_ochrogaster ENSMOCG00000017037
cricetulus_griseus_crigri-picr ENSCGRG00015000416
cricetulus_griseus_crigri ENSCGRG00000012240
cricetulus_griseus_chok1gshd ENSCGRG00001002765
mesocricetus_auratus ENSMAUG00000019945
nannospalax_galili ENSNGAG00000016614
