seriola_lalandi_dorsalis ENSSLDG00000004261
cynoglossus_semilaevis ENSCSEG00000019092
labrus_bergylta ENSLBEG00000022900
mastacembelus_armatus ENSMAMG00000011953
periophthalmus_magnuspinnatus ENSPMGG00000014414
scleropages_formosus ENSSFOG00015009989
lepisosteus_oculatus ENSLOCG00000012059
pogona_vitticeps ENSPVIG00000004449
anolis_carolinensis ENSACAG00000011452
notechis_scutatus ENSNSUG00000017554
salvator_merianae ENSSMRG00000017714
sphenodon_punctatus ENSSPUG00000008813
coturnix_japonica ENSCJPG00005009968
meleagris_gallopavo ENSMGAG00000007127
gallus_gallus ENSGALG00000010864
numida_meleagris ENSNMEG00000014869
anser_brachyrhynchus ENSABRG00000007138
anas_platyrhynchos_platyrhynchos ENSAPLG00000012982
lepidothrix_coronata ENSLCOG00000007798
manacus_vitellinus ENSMVIG00005019129
parus_major ENSPMJG00000000604
cyanistes_caeruleus ENSCCEG00000021529
ficedula_albicollis ENSFALG00000008147
taeniopygia_guttata ENSTGUG00000001550
lonchura_striata_domestica ENSLSDG00000018043
serinus_canaria ENSSCAG00000004797
junco_hyemalis ENSJHYG00000004582
zonotrichia_albicollis ENSZALG00000003943
calidris_pugnax ENSCPUG00000003353
melopsittacus_undulatus ENSMUNG00000009151
apteryx_rowi ENSARWG00000002800
apteryx_haastii ENSAHAG00000002927
apteryx_owenii ENSAOWG00000013324
dromaius_novaehollandiae ENSDNVG00000000575
nothoprocta_perdicaria ENSNPEG00000004151
crocodylus_porosus ENSCPRG00005007293
gopherus_agassizii ENSGAGG00000009244
chelonoidis_abingdonii ENSCABG00000003254
chrysemys_picta_bellii ENSCPBG00000013497
pelodiscus_sinensis ENSPSIG00000008683
pteropus_vampyrus ENSPVAG00000010938
myotis_lucifugus ENSMLUG00000015475
equus_caballus ENSECAG00000007588
equus_asinus_asinus ENSEASG00005016546
erinaceus_europaeus ENSEEUG00000007896
panthera_pardus ENSPPRG00000003435
panthera_tigris_altaica ENSPTIG00000001328
felis_catus ENSFCAG00000027465
mustela_putorius_furo ENSMPUG00000009116
neovison_vison ENSNVIG00000014847
ursus_americanus ENSUAMG00000012967
ursus_maritimus ENSUMAG00000006708
ailuropoda_melanoleuca ENSAMEG00000014348
canis_lupus_familiaris ENSCAFG00000031443
canis_lupus_dingo ENSCAFG00020026896
vulpes_vulpes ENSVVUG00000014745
castor_canadensis ENSCCNG00000014507
dipodomys_ordii ENSDORG00000008591
urocitellus_parryii ENSUPAG00010004749
ictidomys_tridecemlineatus ENSSTOG00000000465
spermophilus_dauricus ENSSDAG00000014253
marmota_marmota_marmota ENSMMMG00000006986
chinchilla_lanigera ENSCLAG00000005605
octodon_degus ENSODEG00000006095
cavia_aperea ENSCAPG00000016908
cavia_porcellus ENSCPOG00000036561
heterocephalus_glaber_female ENSHGLG00000011440
heterocephalus_glaber_male ENSHGLG00100007499
fukomys_damarensis ENSFDAG00000020433
mus_musculus ENSMUSG00000029377
mus_spicilegus ENSMSIG00000018453
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028398
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027401
mus_pahari MGP_PahariEiJ_G0017179
rattus_norvegicus ENSRNOG00000002771
meriones_unguiculatus ENSMUGG00000010442
meriones_unguiculatus ENSMUGG00000010462
cricetulus_griseus_chok1gshd ENSCGRG00001024516
cricetulus_griseus_crigri ENSCGRG00000007979
cricetulus_griseus_crigri-picr ENSCGRG00015010631
mesocricetus_auratus ENSMAUG00000013943
microtus_ochrogaster ENSMOCG00000018280
peromyscus_maniculatus_bairdii ENSPEMG00000014346
jaculus_jaculus ENSJJAG00000005977
oryctolagus_cuniculus ENSOCUG00000016277
ochotona_princeps ENSOPRG00000007265
nannospalax_galili ENSNGAG00000000312
otolemur_garnettii ENSOGAG00000002739
loxodonta_africana ENSLAFG00000010348
procavia_capensis ENSPCAG00000008983
pan_paniscus ENSPPAG00000042641
pan_troglodytes ENSPTRG00000016166
gorilla_gorilla ENSGGOG00000003811
homo_sapiens ENSG00000124882
pongo_abelii ENSPPYG00000014837
nomascus_leucogenys ENSNLEG00000007937
rhinopithecus_roxellana ENSRROG00000035935
rhinopithecus_bieti ENSRBIG00000028009
colobus_angolensis_palliatus ENSCANG00000033709
macaca_fascicularis ENSMFAG00000000815
macaca_nemestrina ENSMNEG00000039842
macaca_mulatta ENSMMUG00000039745
mandrillus_leucophaeus ENSMLEG00000040114
theropithecus_gelada ENSTGEG00000014244
papio_anubis ENSPANG00000006081
cercocebus_atys ENSCATG00000041247
piliocolobus_tephrosceles ENSPTEG00000014741
chlorocebus_sabaeus ENSCSAG00000004730
cebus_capucinus ENSCCAG00000036638
callithrix_jacchus ENSCJAG00000039887
saimiri_boliviensis_boliviensis ENSSBOG00000022697
aotus_nancymaae ENSANAG00000032332
carlito_syrichta ENSTSYG00000005235
