octodon_degus ENSODEG00000014171
cavia_aperea ENSCAPG00000005909
ictidomys_tridecemlineatus ENSSTOG00000034747
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033466
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017019
nannospalax_galili ENSNGAG00000016389
ursus_americanus ENSUAMG00000010306
neovison_vison ENSNVIG00000014342
panthera_pardus ENSPPRG00000014926
felis_catus ENSFCAG00000042618
capra_hircus ENSCHIG00000020919
bos_taurus ENSBTAG00000053853
dipodomys_ordii ENSDORG00000026756
pongo_abelii ENSPPYG00000016571
ursus_maritimus ENSUMAG00000016020
panthera_tigris_altaica ENSPTIG00000018301
bos_mutus ENSBMUG00000002525
bison_bison_bison ENSBBBG00000000857
crocodylus_porosus ENSCPRG00005018347
chrysemys_picta_bellii ENSCPBG00000015060
oryzias_melastigma ENSOMEG00000002801
periophthalmus_magnuspinnatus ENSPMGG00000009629
