ailuropoda_melanoleuca ENSAMEG00000004023
ursus_americanus ENSUAMG00000014990
mustela_putorius_furo ENSMPUG00000006268
neovison_vison ENSNVIG00000006531
canis_lupus_dingo ENSCAFG00020007033
canis_lupus_familiaris ENSCAFG00000019733
vulpes_vulpes ENSVVUG00000026214
felis_catus ENSFCAG00000014435
panthera_pardus ENSPPRG00000009853
erinaceus_europaeus ENSEEUG00000007692
bos_mutus ENSBMUG00000001683
bos_taurus ENSBTAG00000003180
bison_bison_bison ENSBBBG00000020323
capra_hircus ENSCHIG00000026403
ovis_aries ENSOARG00000008326
tursiops_truncatus ENSTTRG00000001664
sus_scrofa ENSSSCG00000003393
equus_caballus ENSECAG00000015887
equus_asinus_asinus ENSEASG00005021168
pteropus_vampyrus ENSPVAG00000010134
myotis_lucifugus ENSMLUG00000011841
pan_troglodytes ENSPTRG00000049393
pan_paniscus ENSPPAG00000039995
homo_sapiens ENSG00000188807
gorilla_gorilla ENSGGOG00000006772
pongo_abelii ENSPPYG00000001911
nomascus_leucogenys ENSNLEG00000009292
papio_anubis ENSPANG00000000631
theropithecus_gelada ENSTGEG00000017805
cercocebus_atys ENSCATG00000031033
macaca_fascicularis ENSMFAG00000046272
mandrillus_leucophaeus ENSMLEG00000034051
chlorocebus_sabaeus ENSCSAG00000000769
piliocolobus_tephrosceles ENSPTEG00000001880
rhinopithecus_bieti ENSRBIG00000019722
rhinopithecus_roxellana ENSRROG00000043575
colobus_angolensis_palliatus ENSCANG00000015189
macaca_nemestrina ENSMNEG00000007380
cebus_capucinus ENSCCAG00000030108
saimiri_boliviensis_boliviensis ENSSBOG00000035187
callithrix_jacchus ENSCJAG00000000432
aotus_nancymaae ENSANAG00000033261
carlito_syrichta ENSTSYG00000036677
propithecus_coquereli ENSPCOG00000028623
microcebus_murinus ENSMICG00000008980
prolemur_simus ENSPSMG00000023788
otolemur_garnettii ENSOGAG00000007107
tupaia_belangeri ENSTBEG00000016206
cricetulus_griseus_chok1gshd ENSCGRG00001023921
cricetulus_griseus_crigri-picr ENSCGRG00015004771
cricetulus_griseus_crigri ENSCGRG00000001034
mesocricetus_auratus ENSMAUG00000007975
peromyscus_maniculatus_bairdii ENSPEMG00000015656
microtus_ochrogaster ENSMOCG00000011893
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027814
mus_spicilegus ENSMSIG00000013447
mus_musculus ENSMUSG00000044700
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026821
mus_pahari MGP_PahariEiJ_G0029169
rattus_norvegicus ENSRNOG00000023152
meriones_unguiculatus ENSMUGG00000001538
nannospalax_galili ENSNGAG00000023817
jaculus_jaculus ENSJJAG00000015754
castor_canadensis ENSCCNG00000027407
urocitellus_parryii ENSUPAG00010001781
marmota_marmota_marmota ENSMMMG00000017340
ictidomys_tridecemlineatus ENSSTOG00000023478
spermophilus_dauricus ENSSDAG00000019954
octodon_degus ENSODEG00000011503
chinchilla_lanigera ENSCLAG00000005657
cavia_porcellus ENSCPOG00000026442
cavia_aperea ENSCAPG00000010424
heterocephalus_glaber_female ENSHGLG00000005631
heterocephalus_glaber_male ENSHGLG00100013971
fukomys_damarensis ENSFDAG00000010399
oryctolagus_cuniculus ENSOCUG00000004170
ochotona_princeps ENSOPRG00000001697
procavia_capensis ENSPCAG00000001326
loxodonta_africana ENSLAFG00000022369
echinops_telfairi ENSETEG00000018549
dasypus_novemcinctus ENSDNOG00000042189
