zonotrichia_albicollis ENSZALG00000007826
lepidothrix_coronata ENSLCOG00000005495
coturnix_japonica ENSCJPG00005012097
anas_platyrhynchos_platyrhynchos ENSAPLG00000023724
calidris_pygmaea ENSCPGG00000011542
anser_brachyrhynchus ENSABRG00000010009
lonchura_striata_domestica ENSLSDG00000011529
gopherus_agassizii ENSGAGG00000021392
salvator_merianae ENSSMRG00000020659
notechis_scutatus ENSNSUG00000000650
anolis_carolinensis ENSACAG00000028573
sphenodon_punctatus ENSSPUG00000009124
xenopus_tropicalis ENSXETG00000010199
latimeria_chalumnae ENSLACG00000006733
fundulus_heteroclitus ENSFHEG00000014498
cyprinodon_variegatus ENSCVAG00000006575
poecilia_formosa ENSPFOG00000004290
poecilia_mexicana ENSPMEG00000020544
poecilia_latipinna ENSPLAG00000020426
poecilia_reticulata ENSPREG00000013560
xiphophorus_maculatus ENSXMAG00000003906
xiphophorus_couchianus ENSXCOG00000007153
gambusia_affinis ENSGAFG00000007294
kryptolebias_marmoratus ENSKMAG00000015005
amphiprion_ocellaris ENSAOCG00000015597
amphiprion_percula ENSAPEG00000021547
acanthochromis_polyacanthus ENSAPOG00000020298
stegastes_partitus ENSSPAG00000022912
maylandia_zebra ENSMZEG00005001171
pundamilia_nyererei ENSPNYG00000003606
haplochromis_burtoni ENSHBUG00000014930
astatotilapia_calliptera ENSACLG00000004863
neolamprologus_brichardi ENSNBRG00000003993
oreochromis_niloticus ENSONIG00000021050
amphilophus_citrinellus ENSACIG00000012491
seriola_dumerili ENSSDUG00000017897
seriola_lalandi_dorsalis ENSSLDG00000016774
monopterus_albus ENSMALG00000001716
mastacembelus_armatus ENSMAMG00000018872
gasterosteus_aculeatus ENSGACG00000018373
scophthalmus_maximus ENSSMAG00000011650
cynoglossus_semilaevis ENSCSEG00000018115
labrus_bergylta ENSLBEG00000021660
hippocampus_comes ENSHCOG00000016264
oryzias_latipes ENSORLG00000018793
oryzias_latipes_asm223469v1 ENSORLG00015014025
oryzias_latipes ENSORLG00020000766
oryzias_melastigma ENSOMEG00000004398
takifugu_rubripes ENSTRUG00000002040
danio_rerio ENSDARG00000104090
paramormyrops_kingsleyae ENSPKIG00000018944
pygocentrus_nattereri ENSPNAG00000013186
astyanax_mexicanus ENSAMXG00000025986
ictalurus_punctatus ENSIPUG00000018599
esox_lucius ENSELUG00000014455
lepisosteus_oculatus ENSLOCG00000017968
paramormyrops_kingsleyae ENSPKIG00000024513
