hippocampus_comes ENSHCOG00000010164
periophthalmus_magnuspinnatus ENSPMGG00000010993
labrus_bergylta ENSLBEG00000022615
gasterosteus_aculeatus ENSGACG00000008902
takifugu_rubripes ENSTRUG00000019951
tetraodon_nigroviridis ENSTNIG00000000842
mola_mola ENSMMOG00000008523
scophthalmus_maximus ENSSMAG00000021236
cynoglossus_semilaevis ENSCSEG00000015038
seriola_lalandi_dorsalis ENSSLDG00000001658
seriola_dumerili ENSSDUG00000006974
mastacembelus_armatus ENSMAMG00000002583
monopterus_albus ENSMALG00000014403
anabas_testudineus ENSATEG00000013863
fundulus_heteroclitus ENSFHEG00000018118
cyprinodon_variegatus ENSCVAG00000012698
xiphophorus_maculatus ENSXMAG00000025843
xiphophorus_couchianus ENSXCOG00000003600
gambusia_affinis ENSGAFG00000013407
poecilia_formosa ENSPFOG00000022179
poecilia_mexicana ENSPMEG00000024395
poecilia_latipinna ENSPLAG00000004012
poecilia_reticulata ENSPREG00000007582
kryptolebias_marmoratus ENSKMAG00000008016
oryzias_latipes ENSORLG00000006951
oryzias_latipes_asm223469v1 ENSORLG00015013950
oryzias_latipes ENSORLG00020018095
oryzias_melastigma ENSOMEG00000020538
astatotilapia_calliptera ENSACLG00000025973
maylandia_zebra ENSMZEG00005017409
haplochromis_burtoni ENSHBUG00000006935
pundamilia_nyererei ENSPNYG00000020042
oreochromis_niloticus ENSONIG00000012515
neolamprologus_brichardi ENSNBRG00000001876
amphilophus_citrinellus ENSACIG00000013706
amphiprion_ocellaris ENSAOCG00000003235
acanthochromis_polyacanthus ENSAPOG00000023999
amphiprion_percula ENSAPEG00000003256
stegastes_partitus ENSSPAG00000017114
gadus_morhua ENSGMOG00000001176
esox_lucius ENSELUG00000005775
pygocentrus_nattereri ENSPNAG00000000915
astyanax_mexicanus ENSAMXG00000040226
ictalurus_punctatus ENSIPUG00000011683
danio_rerio ENSDARG00000087529
scleropages_formosus ENSSFOG00015019718
paramormyrops_kingsleyae ENSPKIG00000009027
lepisosteus_oculatus ENSLOCG00000002965
xenopus_tropicalis ENSXETG00000006436
chrysemys_picta_bellii ENSCPBG00000012416
chelonoidis_abingdonii ENSCABG00000004202
pelodiscus_sinensis ENSPSIG00000014550
gopherus_agassizii ENSGAGG00000009653
salvator_merianae ENSSMRG00000008017
latimeria_chalumnae ENSLACG00000009505
anolis_carolinensis ENSACAG00000022295
pogona_vitticeps ENSPVIG00000013062
notechis_scutatus ENSNSUG00000007264
crocodylus_porosus ENSCPRG00005000941
phascolarctos_cinereus ENSPCIG00000036931
apteryx_rowi ENSARWG00000015700
apteryx_owenii ENSAOWG00000003565
apteryx_haastii ENSAHAG00000004057
dromaius_novaehollandiae ENSDNVG00000013821
meleagris_gallopavo ENSMGAG00000001838
coturnix_japonica ENSCJPG00005011145
numida_meleagris ENSNMEG00000003385
gallus_gallus ENSGALG00000051336
calidris_pygmaea ENSCPGG00000008731
calidris_pugnax ENSCPUG00000001365
lepidothrix_coronata ENSLCOG00000013399
anser_brachyrhynchus ENSABRG00000014188
notamacropus_eugenii ENSMEUG00000001958
phascolarctos_cinereus ENSPCIG00000018411
sarcophilus_harrisii ENSSHAG00000000195
monodelphis_domestica ENSMODG00000015076
procavia_capensis ENSPCAG00000009965
loxodonta_africana ENSLAFG00000012247
echinops_telfairi ENSETEG00000001725
prolemur_simus ENSPSMG00000025021
propithecus_coquereli ENSPCOG00000002087
microcebus_murinus ENSMICG00000032095
otolemur_garnettii ENSOGAG00000008404
gorilla_gorilla ENSGGOG00000005788
homo_sapiens ENSG00000160117
pan_paniscus ENSPPAG00000037684
pan_troglodytes ENSPTRG00000010665
pongo_abelii ENSPPYG00000009706
nomascus_leucogenys ENSNLEG00000005718
rhinopithecus_roxellana ENSRROG00000002000
rhinopithecus_bieti ENSRBIG00000031846
piliocolobus_tephrosceles ENSPTEG00000032928
colobus_angolensis_palliatus ENSCANG00000033999
papio_anubis ENSPANG00000023923
theropithecus_gelada ENSTGEG00000012063
macaca_fascicularis ENSMFAG00000045052
macaca_mulatta ENSMMUG00000016228
macaca_nemestrina ENSMNEG00000032946
cercocebus_atys ENSCATG00000035073
mandrillus_leucophaeus ENSMLEG00000028796
chlorocebus_sabaeus ENSCSAG00000005640
saimiri_boliviensis_boliviensis ENSSBOG00000017922
callithrix_jacchus ENSCJAG00000009656
cebus_capucinus ENSCCAG00000019658
aotus_nancymaae ENSANAG00000037759
tupaia_belangeri ENSTBEG00000011859
ochotona_princeps ENSOPRG00000000828
mus_musculus ENSMUSG00000046295
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032302
mus_spicilegus ENSMSIG00000030609
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031183
mus_pahari MGP_PahariEiJ_G0021648
rattus_norvegicus ENSRNOG00000017156
meriones_unguiculatus ENSMUGG00000003490
cricetulus_griseus_chok1gshd ENSCGRG00001008327
cricetulus_griseus_crigri ENSCGRG00000007375
cricetulus_griseus_crigri-picr ENSCGRG00015004852
mesocricetus_auratus ENSMAUG00000013355
peromyscus_maniculatus_bairdii ENSPEMG00000019042
microtus_ochrogaster ENSMOCG00000018731
jaculus_jaculus ENSJJAG00000014888
ictidomys_tridecemlineatus ENSSTOG00000008525
urocitellus_parryii ENSUPAG00010019507
spermophilus_dauricus ENSSDAG00000008839
marmota_marmota_marmota ENSMMMG00000023542
cavia_porcellus ENSCPOG00000006932
octodon_degus ENSODEG00000001442
heterocephalus_glaber_female ENSHGLG00000003677
castor_canadensis ENSCCNG00000021037
ursus_americanus ENSUAMG00000011542
ursus_maritimus ENSUMAG00000011855
ailuropoda_melanoleuca ENSAMEG00000010455
neovison_vison ENSNVIG00000015900
mustela_putorius_furo ENSMPUG00000015908
canis_lupus_familiaris ENSCAFG00000015434
canis_lupus_dingo ENSCAFG00020010402
vulpes_vulpes ENSVVUG00000016162
panthera_pardus ENSPPRG00000018557
panthera_tigris_altaica ENSPTIG00000011082
felis_catus ENSFCAG00000001003
equus_asinus_asinus ENSEASG00005002868
equus_caballus ENSECAG00000000781
tursiops_truncatus ENSTTRG00000003135
vicugna_pacos ENSVPAG00000008246
bison_bison_bison ENSBBBG00000002178
bos_taurus ENSBTAG00000012592
ovis_aries ENSOARG00000017289
capra_hircus ENSCHIG00000019070
sus_scrofa ENSSSCG00000037099
pteropus_vampyrus ENSPVAG00000007872
myotis_lucifugus ENSMLUG00000029496
ornithorhynchus_anatinus ENSOANG00000014714
eptatretus_burgeri ENSEBUG00000006617
ciona_savignyi ENSCSAVG00000008068
