mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015786
mus_spicilegus ENSMSIG00000007714
mus_musculus ENSMUSG00000026519
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014987
mus_pahari MGP_PahariEiJ_G0028218
rattus_norvegicus ENSRNOG00000003310
meriones_unguiculatus ENSMUGG00000020527
peromyscus_maniculatus_bairdii ENSPEMG00000016310
microtus_ochrogaster ENSMOCG00000010850
cricetulus_griseus_crigri-picr ENSCGRG00015010968
cricetulus_griseus_crigri ENSCGRG00000007164
cricetulus_griseus_chok1gshd ENSCGRG00001022346
nannospalax_galili ENSNGAG00000010999
jaculus_jaculus ENSJJAG00000016345
castor_canadensis ENSCCNG00000004603
ictidomys_tridecemlineatus ENSSTOG00000028603
spermophilus_dauricus ENSSDAG00000009881
urocitellus_parryii ENSUPAG00010002441
marmota_marmota_marmota ENSMMMG00000024078
oryctolagus_cuniculus ENSOCUG00000001907
ochotona_princeps ENSOPRG00000012151
propithecus_coquereli ENSPCOG00000012985
prolemur_simus ENSPSMG00000019172
microcebus_murinus ENSMICG00000004058
otolemur_garnettii ENSOGAG00000010346
pan_paniscus ENSPPAG00000035003
pan_troglodytes ENSPTRG00000002040
homo_sapiens ENSG00000196187
gorilla_gorilla ENSGGOG00000000862
pongo_abelii ENSPPYG00000029911
nomascus_leucogenys ENSNLEG00000013755
piliocolobus_tephrosceles ENSPTEG00000028087
colobus_angolensis_palliatus ENSCANG00000032674
rhinopithecus_bieti ENSRBIG00000042914
rhinopithecus_roxellana ENSRROG00000029457
macaca_nemestrina ENSMNEG00000035779
macaca_mulatta ENSMMUG00000005785
macaca_fascicularis ENSMFAG00000045994
cercocebus_atys ENSCATG00000039227
theropithecus_gelada ENSTGEG00000004152
papio_anubis ENSPANG00000009888
mandrillus_leucophaeus ENSMLEG00000029246
chlorocebus_sabaeus ENSCSAG00000016284
saimiri_boliviensis_boliviensis ENSSBOG00000034751
cebus_capucinus ENSCCAG00000022581
callithrix_jacchus ENSCJAG00000012604
aotus_nancymaae ENSANAG00000020164
carlito_syrichta ENSTSYG00000036713
chinchilla_lanigera ENSCLAG00000000150
heterocephalus_glaber_female ENSHGLG00000002537
cavia_aperea ENSCAPG00000000270
cavia_porcellus ENSCPOG00000031449
tupaia_belangeri ENSTBEG00000006582
tursiops_truncatus ENSTTRG00000010132
sus_scrofa ENSSSCG00000010854
ovis_aries ENSOARG00000017582
capra_hircus ENSCHIG00000026549
bos_taurus ENSBTAG00000002854
bos_mutus ENSBMUG00000006305
bison_bison_bison ENSBBBG00000012352
vicugna_pacos ENSVPAG00000001702
equus_caballus ENSECAG00000018566
equus_asinus_asinus ENSEASG00005013377
pteropus_vampyrus ENSPVAG00000004786
myotis_lucifugus ENSMLUG00000016338
ursus_americanus ENSUAMG00000028419
ursus_maritimus ENSUMAG00000015417
ailuropoda_melanoleuca ENSAMEG00000014638
neovison_vison ENSNVIG00000015042
mustela_putorius_furo ENSMPUG00000004462
canis_lupus_familiaris ENSCAFG00000016154
canis_lupus_dingo ENSCAFG00020003274
vulpes_vulpes ENSVVUG00000001946
panthera_pardus ENSPPRG00000010133
panthera_tigris_altaica ENSPTIG00000014886
felis_catus ENSFCAG00000044147
choloepus_hoffmanni ENSCHOG00000001096
dasypus_novemcinctus ENSDNOG00000024203
loxodonta_africana ENSLAFG00000017739
procavia_capensis ENSPCAG00000001985
echinops_telfairi ENSETEG00000012297
erinaceus_europaeus ENSEEUG00000001666
sorex_araneus ENSSARG00000014071
notamacropus_eugenii ENSMEUG00000003227
phascolarctos_cinereus ENSPCIG00000017422
monodelphis_domestica ENSMODG00000005934
sarcophilus_harrisii ENSSHAG00000013860
ornithorhynchus_anatinus ENSOANG00000001474
lepidothrix_coronata ENSLCOG00000008684
manacus_vitellinus ENSMVIG00005000706
junco_hyemalis ENSJHYG00000012770
zonotrichia_albicollis ENSZALG00000006418
serinus_canaria ENSSCAG00000015253
taeniopygia_guttata ENSTGUG00000004155
lonchura_striata_domestica ENSLSDG00000017697
ficedula_albicollis ENSFALG00000011672
parus_major ENSPMJG00000011834
cyanistes_caeruleus ENSCCEG00000015636
melopsittacus_undulatus ENSMUNG00000012003
calidris_pugnax ENSCPUG00000017890
calidris_pygmaea ENSCPGG00000018156
anser_brachyrhynchus ENSABRG00000016021
anas_platyrhynchos_platyrhynchos ENSAPLG00000012312
gallus_gallus ENSGALG00000009275
meleagris_gallopavo ENSMGAG00000007986
coturnix_japonica ENSCJPG00005006368
numida_meleagris ENSNMEG00000014255
apteryx_haastii ENSAHAG00000000211
apteryx_rowi ENSARWG00000012385
apteryx_owenii ENSAOWG00000015846
dromaius_novaehollandiae ENSDNVG00000015264
nothoprocta_perdicaria ENSNPEG00000015677
crocodylus_porosus ENSCPRG00005003380
chelonoidis_abingdonii ENSCABG00000012878
gopherus_agassizii ENSGAGG00000016446
chrysemys_picta_bellii ENSCPBG00000011988
pelodiscus_sinensis ENSPSIG00000015072
pogona_vitticeps ENSPVIG00000014102
anolis_carolinensis ENSACAG00000005883
notechis_scutatus ENSNSUG00000009855
salvator_merianae ENSSMRG00000001043
sphenodon_punctatus ENSSPUG00000007703
xenopus_tropicalis ENSXETG00000022650
latimeria_chalumnae ENSLACG00000004141
mastacembelus_armatus ENSMAMG00000015443
monopterus_albus ENSMALG00000017098
anabas_testudineus ENSATEG00000003024
seriola_dumerili ENSSDUG00000011617
seriola_lalandi_dorsalis ENSSLDG00000025437
scophthalmus_maximus ENSSMAG00000009317
scophthalmus_maximus ENSSMAG00000019506
labrus_bergylta ENSLBEG00000003473
mola_mola ENSMMOG00000015240
periophthalmus_magnuspinnatus ENSPMGG00000000400
tetraodon_nigroviridis ENSTNIG00000016301
takifugu_rubripes ENSTRUG00000015070
cynoglossus_semilaevis ENSCSEG00000019640
xiphophorus_maculatus ENSXMAG00000004877
xiphophorus_couchianus ENSXCOG00000007235
gambusia_affinis ENSGAFG00000005239
poecilia_latipinna ENSPLAG00000011078
poecilia_formosa ENSPFOG00000009140
poecilia_mexicana ENSPMEG00000011901
poecilia_reticulata ENSPREG00000012215
fundulus_heteroclitus ENSFHEG00000009050
cyprinodon_variegatus ENSCVAG00000006532
kryptolebias_marmoratus ENSKMAG00000014860
oryzias_latipes ENSORLG00000016914
oryzias_latipes ENSORLG00020002837
oryzias_latipes_asm223469v1 ENSORLG00015021983
oryzias_melastigma ENSOMEG00000018245
maylandia_zebra ENSMZEG00005014909
astatotilapia_calliptera ENSACLG00000008154
haplochromis_burtoni ENSHBUG00000014696
pundamilia_nyererei ENSPNYG00000014829
neolamprologus_brichardi ENSNBRG00000021215
oreochromis_niloticus ENSONIG00000000614
amphilophus_citrinellus ENSACIG00000017837
amphiprion_ocellaris ENSAOCG00000016598
amphiprion_percula ENSAPEG00000006885
acanthochromis_polyacanthus ENSAPOG00000002688
stegastes_partitus ENSSPAG00000000051
hippocampus_comes ENSHCOG00000012367
gasterosteus_aculeatus ENSGACG00000013356
gadus_morhua ENSGMOG00000012484
esox_lucius ENSELUG00000005379
pygocentrus_nattereri ENSPNAG00000023435
ictalurus_punctatus ENSIPUG00000017443
danio_rerio ENSDARG00000031956
scleropages_formosus ENSSFOG00015005575
paramormyrops_kingsleyae ENSPKIG00000012769
lepisosteus_oculatus ENSLOCG00000016012
petromyzon_marinus ENSPMAG00000006813
eptatretus_burgeri ENSEBUG00000009871
petromyzon_marinus ENSPMAG00000009814
eptatretus_burgeri ENSEBUG00000004384
