bison_bison_bison ENSBBBG00000007151
bos_mutus ENSBMUG00000010744
sus_scrofa ENSSSCG00000040684
rhinopithecus_roxellana ENSRROG00000013147
piliocolobus_tephrosceles ENSPTEG00000017138
cercocebus_atys ENSCATG00000017091
macaca_fascicularis ENSMFAG00000030232
macaca_nemestrina ENSMNEG00000013263
theropithecus_gelada ENSTGEG00000025065
papio_anubis ENSPANG00000033605
mandrillus_leucophaeus ENSMLEG00000001277
colobus_angolensis_palliatus ENSCANG00000009299
pan_troglodytes ENSPTRG00000050018
pan_paniscus ENSPPAG00000027936
gorilla_gorilla ENSGGOG00000041187
cebus_capucinus ENSCCAG00000037210
saimiri_boliviensis_boliviensis ENSSBOG00000032506
aotus_nancymaae ENSANAG00000029611
