gallus_gallus ENSGALG00000030920
numida_meleagris ENSNMEG00000001610
anas_platyrhynchos_platyrhynchos ENSAPLG00000028057
anser_brachyrhynchus ENSABRG00000013706
calidris_pugnax ENSCPUG00000018092
calidris_pygmaea ENSCPGG00000001916
melopsittacus_undulatus ENSMUNG00000009574
junco_hyemalis ENSJHYG00000009564
serinus_canaria ENSSCAG00000004969
parus_major ENSPMJG00000007728
lepidothrix_coronata ENSLCOG00000003982
apteryx_haastii ENSAHAG00000003023
apteryx_owenii ENSAOWG00000009924
chelonoidis_abingdonii ENSCABG00000008746
gopherus_agassizii ENSGAGG00000010532
