gorilla_gorilla ENSGGOG00000039313
pan_troglodytes ENSPTRG00000043461
pongo_abelii ENSPPYG00000012185
nomascus_leucogenys ENSNLEG00000027143
macaca_fascicularis ENSMFAG00000003218
macaca_nemestrina ENSMNEG00000029515
mandrillus_leucophaeus ENSMLEG00000012876
cercocebus_atys ENSCATG00000036465
papio_anubis ENSPANG00000029445
rhinopithecus_roxellana ENSRROG00000033901
rhinopithecus_bieti ENSRBIG00000023354
colobus_angolensis ENSCANG00000041378
piliocolobus_tephrosceles ENSPTEG00000017008
callithrix_jacchus ENSCJAG00000052086
