acanthochromis_polyacanthus ENSAPOG00000019976
amphiprion_ocellaris ENSAOCG00000007926
poecilia_reticulata ENSPREG00000006676
xiphophorus_couchianus ENSXCOG00000020119
oryzias_latipes ENSORLG00020021030
oryzias_latipes_asm223469v1 ENSORLG00015013003
seriola_lalandi_dorsalis ENSSLDG00000011209
seriola_dumerili ENSSDUG00000009978
labrus_bergylta ENSLBEG00000003932
takifugu_rubripes ENSTRUG00000021032
notamacropus_eugenii ENSMEUG00000003030
propithecus_coquereli ENSPCOG00000001560
apteryx_haastii ENSAHAG00000012923
nothoprocta_perdicaria ENSNPEG00000013388
lepidothrix_coronata ENSLCOG00000008446
cyanistes_caeruleus ENSCCEG00000009329
crocodylus_porosus ENSCPRG00005001973
salvator_merianae ENSSMRG00000010413
pogona_vitticeps ENSPVIG00000013421
eptatretus_burgeri ENSEBUG00000003270
