cercocebus_atys ENSCATG00000030006
mandrillus_leucophaeus ENSMLEG00000031171
papio_anubis ENSPANG00000024702
macaca_fascicularis ENSMFAG00000036786
macaca_nemestrina ENSMNEG00000039467
macaca_mulatta ENSMMUG00000002470
theropithecus_gelada ENSTGEG00000003175
chlorocebus_sabaeus ENSCSAG00000007075
rhinopithecus_roxellana ENSRROG00000043901
rhinopithecus_bieti ENSRBIG00000043318
colobus_angolensis_palliatus ENSCANG00000028407
homo_sapiens ENSG00000188938
gorilla_gorilla ENSGGOG00000003350
pan_paniscus ENSPPAG00000036180
pan_troglodytes ENSPTRG00000049688
nomascus_leucogenys ENSNLEG00000016571
cebus_capucinus ENSCCAG00000019651
otolemur_garnettii ENSOGAG00000011866
pteropus_vampyrus ENSPVAG00000015635
ovis_aries ENSOARG00000008029
