gasterosteus_aculeatus ENSGACG00000004574
labrus_bergylta ENSLBEG00000016682
seriola_dumerili ENSSDUG00000000155
seriola_lalandi_dorsalis ENSSLDG00000018902
scophthalmus_maximus ENSSMAG00000015157
cynoglossus_semilaevis ENSCSEG00000005593
mastacembelus_armatus ENSMAMG00000006228
monopterus_albus ENSMALG00000009514
anabas_testudineus ENSATEG00000015376
amphiprion_ocellaris ENSAOCG00000004179
amphiprion_percula ENSAPEG00000022350
acanthochromis_polyacanthus ENSAPOG00000015474
stegastes_partitus ENSSPAG00000017721
maylandia_zebra ENSMZEG00005004776
astatotilapia_calliptera ENSACLG00000009072
haplochromis_burtoni ENSHBUG00000019677
pundamilia_nyererei ENSPNYG00000008289
neolamprologus_brichardi ENSNBRG00000011364
oreochromis_niloticus ENSONIG00000008617
amphilophus_citrinellus ENSACIG00000020660
tetraodon_nigroviridis ENSTNIG00000001777
takifugu_rubripes ENSTRUG00000017534
mola_mola ENSMMOG00000000878
fundulus_heteroclitus ENSFHEG00000007527
cyprinodon_variegatus ENSCVAG00000000494
xiphophorus_maculatus ENSXMAG00000000425
xiphophorus_couchianus ENSXCOG00000019205
gambusia_affinis ENSGAFG00000004059
poecilia_formosa ENSPFOG00000013995
poecilia_mexicana ENSPMEG00000002761
poecilia_latipinna ENSPLAG00000007850
poecilia_reticulata ENSPREG00000005352
kryptolebias_marmoratus ENSKMAG00000015886
oryzias_latipes ENSORLG00020020897
oryzias_latipes_asm223469v1 ENSORLG00015014855
oryzias_latipes ENSORLG00000017536
oryzias_melastigma ENSOMEG00000004758
periophthalmus_magnuspinnatus ENSPMGG00000000642
hippocampus_comes ENSHCOG00000010003
gadus_morhua ENSGMOG00000004313
esox_lucius ENSELUG00000022918
pygocentrus_nattereri ENSPNAG00000003676
astyanax_mexicanus ENSAMXG00000006895
ictalurus_punctatus ENSIPUG00000019903
danio_rerio ENSDARG00000059263
paramormyrops_kingsleyae ENSPKIG00000023038
scleropages_formosus ENSSFOG00015001723
lepisosteus_oculatus ENSLOCG00000007146
apteryx_owenii ENSAOWG00000018758
apteryx_haastii ENSAHAG00000007890
apteryx_rowi ENSARWG00000004682
dromaius_novaehollandiae ENSDNVG00000017478
anser_brachyrhynchus ENSABRG00000002420
anas_platyrhynchos_platyrhynchos ENSAPLG00000008820
coturnix_japonica ENSCJPG00005017733
meleagris_gallopavo ENSMGAG00000009673
gallus_gallus ENSGALG00000009274
numida_meleagris ENSNMEG00000022232
manacus_vitellinus ENSMVIG00005001563
lepidothrix_coronata ENSLCOG00000016318
lonchura_striata_domestica ENSLSDG00000010970
serinus_canaria ENSSCAG00000016102
junco_hyemalis ENSJHYG00000012620
zonotrichia_albicollis ENSZALG00000017700
taeniopygia_guttata ENSTGUG00000008938
parus_major ENSPMJG00000018530
cyanistes_caeruleus ENSCCEG00000023542
ficedula_albicollis ENSFALG00000003122
melopsittacus_undulatus ENSMUNG00000007897
calidris_pygmaea ENSCPGG00000017187
calidris_pugnax ENSCPUG00000004984
chelonoidis_abingdonii ENSCABG00000005463
gopherus_agassizii ENSGAGG00000002687
chrysemys_picta_bellii ENSCPBG00000003590
pelodiscus_sinensis ENSPSIG00000003112
sphenodon_punctatus ENSSPUG00000005253
anolis_carolinensis ENSACAG00000017914
pogona_vitticeps ENSPVIG00000001069
salvator_merianae ENSSMRG00000018209
crocodylus_porosus ENSCPRG00005013839
phascolarctos_cinereus ENSPCIG00000029141
notamacropus_eugenii ENSMEUG00000009000
sarcophilus_harrisii ENSSHAG00000015948
monodelphis_domestica ENSMODG00000009555
castor_canadensis ENSCCNG00000018393
dipodomys_ordii ENSDORG00000009434
mus_spicilegus ENSMSIG00000006333
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024591
mus_musculus ENSMUSG00000001823
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023668
mus_pahari MGP_PahariEiJ_G0025120
rattus_norvegicus ENSRNOG00000001587
meriones_unguiculatus ENSMUGG00000010771
cricetulus_griseus_crigri ENSCGRG00000002007
cricetulus_griseus_chok1gshd ENSCGRG00001000877
cricetulus_griseus_crigri-picr ENSCGRG00015000358
mesocricetus_auratus ENSMAUG00000018416
microtus_ochrogaster ENSMOCG00000018953
peromyscus_maniculatus_bairdii ENSPEMG00000019240
nannospalax_galili ENSNGAG00000023455
jaculus_jaculus ENSJJAG00000016261
chinchilla_lanigera ENSCLAG00000013058
octodon_degus ENSODEG00000008376
cavia_porcellus ENSCPOG00000005496
heterocephalus_glaber_female ENSHGLG00000005403
heterocephalus_glaber_male ENSHGLG00100008151
fukomys_damarensis ENSFDAG00000016508
urocitellus_parryii ENSUPAG00010020440
spermophilus_dauricus ENSSDAG00000004915
ictidomys_tridecemlineatus ENSSTOG00000004918
marmota_marmota_marmota ENSMMMG00000023760
oryctolagus_cuniculus ENSOCUG00000002412
ochotona_princeps ENSOPRG00000011418
pan_troglodytes ENSPTRG00000012665
pan_paniscus ENSPPAG00000017089
homo_sapiens ENSG00000170178
gorilla_gorilla ENSGGOG00000038035
gorilla_gorilla ENSGGOG00000040635
pongo_abelii ENSPPYG00000012957
nomascus_leucogenys ENSNLEG00000006006
rhinopithecus_bieti ENSRBIG00000040792
rhinopithecus_roxellana ENSRROG00000043268
piliocolobus_tephrosceles ENSPTEG00000039200
colobus_angolensis_palliatus ENSCANG00000033977
theropithecus_gelada ENSTGEG00000021201
papio_anubis ENSPANG00000001060
mandrillus_leucophaeus ENSMLEG00000032533
cercocebus_atys ENSCATG00000032043
macaca_mulatta ENSMMUG00000023501
macaca_fascicularis ENSMFAG00000031731
macaca_nemestrina ENSMNEG00000002891
chlorocebus_sabaeus ENSCSAG00000014464
cebus_capucinus ENSCCAG00000026325
saimiri_boliviensis_boliviensis ENSSBOG00000025723
callithrix_jacchus ENSCJAG00000008254
aotus_nancymaae ENSANAG00000008919
carlito_syrichta ENSTSYG00000003740
prolemur_simus ENSPSMG00000024476
propithecus_coquereli ENSPCOG00000022036
microcebus_murinus ENSMICG00000002172
otolemur_garnettii ENSOGAG00000015689
tupaia_belangeri ENSTBEG00000010799
pteropus_vampyrus ENSPVAG00000017416
myotis_lucifugus ENSMLUG00000007009
bos_taurus ENSBTAG00000004314
bos_mutus ENSBMUG00000015618
bison_bison_bison ENSBBBG00000017645
capra_hircus ENSCHIG00000014734
