seriola_lalandi_dorsalis ENSSLDG00000001154
seriola_dumerili ENSSDUG00000017279
scophthalmus_maximus ENSSMAG00000001579
amphiprion_ocellaris ENSAOCG00000010312
amphiprion_percula ENSAPEG00000014543
stegastes_partitus ENSSPAG00000011080
amphilophus_citrinellus ENSACIG00000014056
xiphophorus_couchianus ENSXCOG00000012176
xiphophorus_couchianus ENSXCOG00000002756
xiphophorus_maculatus ENSXMAG00000021710
gambusia_affinis ENSGAFG00000015593
poecilia_reticulata ENSPREG00000001113
mastacembelus_armatus ENSMAMG00000004617
mola_mola ENSMMOG00000001865
