crocodylus_porosus ENSCPRG00005015403
gopherus_agassizii ENSGAGG00000003393
vombatus_ursinus ENSVURG00010023710
notamacropus_eugenii ENSMEUG00000002449
sarcophilus_harrisii ENSSHAG00000017116
ursus_americanus ENSUAMG00000008043
ursus_maritimus ENSUMAG00000014177
equus_caballus ENSECAG00000034255
carlito_syrichta ENSTSYG00000035408
prolemur_simus ENSPSMG00000010129
microcebus_murinus ENSMICG00000013789
propithecus_coquereli ENSPCOG00000013173
otolemur_garnettii ENSOGAG00000027369
cebus_capucinus ENSCCAG00000037241
callithrix_jacchus ENSCJAG00000043030
aotus_nancymaae ENSANAG00000023686
rhinopithecus_roxellana ENSRROG00000029853
rhinopithecus_bieti ENSRBIG00000038368
piliocolobus_tephrosceles ENSPTEG00000009568
colobus_angolensis ENSCANG00000017894
macaca_nemestrina ENSMNEG00000041514
macaca_mulatta ENSMMUG00000014826
macaca_fascicularis ENSMFAG00000043285
papio_anubis ENSPANG00000017235
cercocebus_atys ENSCATG00000026463
mandrillus_leucophaeus ENSMLEG00000009278
chlorocebus_sabaeus ENSCSAG00000000906
pongo_abelii ENSPPYG00000010684
pan_troglodytes ENSPTRG00000000306
pan_paniscus ENSPPAG00000044115
homo_sapiens ENSG00000187942
gorilla_gorilla ENSGGOG00000013206
nomascus_leucogenys ENSNLEG00000033558
oryctolagus_cuniculus ENSOCUG00000010951
tupaia_belangeri ENSTBEG00000011544
ovis_aries ENSOARG00000008346
sus_scrofa ENSSSCG00000050518
vicugna_pacos ENSVPAG00000003233
tursiops_truncatus ENSTTRG00000005158
pteropus_vampyrus ENSPVAG00000004676
ailuropoda_melanoleuca ENSAMEG00000014402
mustela_putorius ENSMPUG00000016051
canis_lupus ENSCAFG00000014779
felis_catus ENSFCAG00000040971
panthera_pardus ENSPPRG00000000766
loxodonta_africana ENSLAFG00000002049
dasypus_novemcinctus ENSDNOG00000040878
ochotona_princeps ENSOPRG00000002761
denticeps_clupeoides ENSDCDG00000024992
clupea_harengus ENSCHAG00000016900
astyanax_mexicanus ENSAMXG00000039337
astyanax_mexicanus ENSAMXG00005002741
pygocentrus_nattereri ENSPNAG00000016038
electrophorus_electricus ENSEEEG00000024193
ictalurus_punctatus ENSIPUG00000022226
danio_rerio ENSDARG00000090297
hucho_hucho ENSHHUG00000045921
hucho_hucho ENSHHUG00000025794
esox_lucius ENSELUG00000007191
tetraodon_nigroviridis ENSTNIG00000005894
takifugu_rubripes ENSTRUG00000020702
hippocampus_comes ENSHCOG00000005040
oryzias_latipes ENSORLG00020005429
oryzias_latipes ENSORLG00015001649
oryzias_latipes ENSORLG00000028509
oryzias_melastigma ENSOMEG00000001485
cynoglossus_semilaevis ENSCSEG00000017469
cottoperca_gobio ENSCGOG00000005906
labrus_bergylta ENSLBEG00000019810
larimichthys_crocea ENSLCRG00005007084
mola_mola ENSMMOG00000009592
mastacembelus_armatus ENSMAMG00000023714
monopterus_albus ENSMALG00000009770
betta_splendens ENSBSLG00000017892
anabas_testudineus ENSATEG00000001004
lates_calcarifer ENSLCAG00010001625
scophthalmus_maximus ENSSMAG00000003182
seriola_dumerili ENSSDUG00000008100
seriola_lalandi ENSSLDG00000017866
amphiprion_ocellaris ENSAOCG00000022322
amphiprion_percula ENSAPEG00000024190
acanthochromis_polyacanthus ENSAPOG00000007931
stegastes_partitus ENSSPAG00000014462
stegastes_partitus ENSSPAG00000008346
parambassis_ranga ENSPRNG00000006687
maylandia_zebra ENSMZEG00005005787
pundamilia_nyererei ENSPNYG00000011368
astatotilapia_calliptera ENSACLG00000026951
neolamprologus_brichardi ENSNBRG00000021606
oreochromis_niloticus ENSONIG00000004638
amphilophus_citrinellus ENSACIG00000013798
gouania_willdenowi ENSGWIG00000018200
xiphophorus_maculatus ENSXMAG00000023597
xiphophorus_couchianus ENSXCOG00000010090
poecilia_reticulata ENSPREG00000020380
gambusia_affinis ENSGAFG00000007362
kryptolebias_marmoratus ENSKMAG00000018524
periophthalmus_magnuspinnatus ENSPMGG00000019876
paramormyrops_kingsleyae ENSPKIG00000000339
scleropages_formosus ENSSFOG00015019135
lepisosteus_oculatus ENSLOCG00000001757
latimeria_chalumnae ENSLACG00000001514
callorhinchus_milii ENSCMIG00000002870
eptatretus_burgeri ENSEBUG00000013324
