gallus_gallus ENSGALG00000036355
coturnix_japonica ENSCJPG00005020246
anser_brachyrhynchus ENSABRG00000017313
calidris_pygmaea ENSCPGG00000009686
calidris_pugnax ENSCPUG00000019634
cyanistes_caeruleus ENSCCEG00000014653
zonotrichia_albicollis ENSZALG00000015163
apteryx_haastii ENSAHAG00000005608
apteryx_owenii ENSAOWG00000010087
apteryx_rowi ENSARWG00000004713
nothoprocta_perdicaria ENSNPEG00000000371
dasypus_novemcinctus ENSDNOG00000033236
dasypus_novemcinctus ENSDNOG00000035234
panthera_pardus ENSPPRG00000024016
panthera_tigris_altaica ENSPTIG00000014493
felis_catus ENSFCAG00000044879
sus_scrofa ENSSSCG00000040305
callithrix_jacchus ENSCJAG00000045463
aotus_nancymaae ENSANAG00000020897
pan_troglodytes ENSPTRG00000042161
pan_paniscus ENSPPAG00000027554
homo_sapiens ENSG00000243317
gorilla_gorilla ENSGGOG00000041119
nomascus_leucogenys ENSNLEG00000036220
macaca_mulatta ENSMMUG00000043412
macaca_nemestrina ENSMNEG00000035136
macaca_fascicularis ENSMFAG00000034075
papio_anubis ENSPANG00000033864
theropithecus_gelada ENSTGEG00000025256
mandrillus_leucophaeus ENSMLEG00000035529
cercocebus_atys ENSCATG00000012047
rhinopithecus_bieti ENSRBIG00000041677
rhinopithecus_roxellana ENSRROG00000035851
colobus_angolensis_palliatus ENSCANG00000037961
piliocolobus_tephrosceles ENSPTEG00000034492
chlorocebus_sabaeus ENSCSAG00000000568
saimiri_boliviensis_boliviensis ENSSBOG00000022931
cebus_capucinus ENSCCAG00000032908
propithecus_coquereli ENSPCOG00000026992
microcebus_murinus ENSMICG00000036535
prolemur_simus ENSPSMG00000022330
otolemur_garnettii ENSOGAG00000028087
rattus_norvegicus ENSRNOG00000046109
bos_taurus ENSBTAG00000051809
bos_mutus ENSBMUG00000001014
bison_bison_bison ENSBBBG00000003840
sus_scrofa ENSSSCG00000031306
ursus_americanus ENSUAMG00000015698
neovison_vison ENSNVIG00000022513
canis_lupus_dingo ENSCAFG00020026794
vulpes_vulpes ENSVVUG00000006312
ursus_maritimus ENSUMAG00000015385
capra_hircus ENSCHIG00000013880
ovis_aries ENSOARG00000009351
spermophilus_dauricus ENSSDAG00000022551
marmota_marmota_marmota ENSMMMG00000012449
castor_canadensis ENSCCNG00000016649
meriones_unguiculatus ENSMUGG00000007217
cricetulus_griseus_crigri-picr ENSCGRG00015027527
carlito_syrichta ENSTSYG00000029467
xiphophorus_couchianus ENSXCOG00000013926
xiphophorus_maculatus ENSXMAG00000022490
cyprinodon_variegatus ENSCVAG00000011654
oryzias_melastigma ENSOMEG00000013885
oryzias_latipes ENSORLG00020002111
haplochromis_burtoni ENSHBUG00000004884
amphilophus_citrinellus ENSACIG00000010098
labrus_bergylta ENSLBEG00000028339
periophthalmus_magnuspinnatus ENSPMGG00000019122
danio_rerio ENSDARG00000093058
pygocentrus_nattereri ENSPNAG00000016364
ictalurus_punctatus ENSIPUG00000024150
paramormyrops_kingsleyae ENSPKIG00000001016
scleropages_formosus ENSSFOG00015001318
lepisosteus_oculatus ENSLOCG00000017103
