neovison_vison ENSNVIG00000024935
ursus_maritimus ENSUMAG00000004791
bos_mutus ENSBMUG00000026331
bos_taurus ENSBTAG00000055024
bison_bison_bison ENSBBBG00000003948
bos_taurus ENSBTAG00000048998
bos_mutus ENSBMUG00000020961
bison_bison_bison ENSBBBG00000022126
ovis_aries ENSOARG00000006231
bos_taurus ENSBTAG00000052218
bos_mutus ENSBMUG00000009496
myotis_lucifugus ENSMLUG00000022714
colobus_angolensis_palliatus ENSCANG00000041832
colobus_angolensis_palliatus ENSCANG00000040393
chlorocebus_sabaeus ENSCSAG00000011615
pongo_abelii ENSPPYG00000014120
microcebus_murinus ENSMICG00000033802
heterocephalus_glaber_male ENSHGLG00100009651
heterocephalus_glaber_female ENSHGLG00000009813
chinchilla_lanigera ENSCLAG00000016972
cricetulus_griseus_crigri ENSCGRG00000006808
cricetulus_griseus_chok1gshd ENSCGRG00001017025
cricetulus_griseus_crigri-picr ENSCGRG00015024793
peromyscus_maniculatus_bairdii ENSPEMG00000031346
mus_pahari MGP_PahariEiJ_G0016704
oryctolagus_cuniculus ENSOCUG00000024748
dasypus_novemcinctus ENSDNOG00000039495
dasypus_novemcinctus ENSDNOG00000014959
choloepus_hoffmanni ENSCHOG00000006527
dasypus_novemcinctus ENSDNOG00000037262
dasypus_novemcinctus ENSDNOG00000047770
choloepus_hoffmanni ENSCHOG00000002623
equus_asinus_asinus ENSEASG00005018968
equus_caballus ENSECAG00000034869
echinops_telfairi ENSETEG00000018972
echinops_telfairi ENSETEG00000004930
echinops_telfairi ENSETEG00000005592
echinops_telfairi ENSETEG00000014119
