cricetulus_griseus_crigri-picr ENSCGRG00015007820
cricetulus_griseus_chok1gshd ENSCGRG00001010698
mesocricetus_auratus ENSMAUG00000009142
microtus_ochrogaster ENSMOCG00000004193
peromyscus_maniculatus_bairdii ENSPEMG00000025851
mus_spicilegus ENSMSIG00000012271
mus_musculus ENSMUSG00000027913
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026236
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025293
mus_pahari MGP_PahariEiJ_G0026739
rattus_norvegicus ENSRNOG00000009574
meriones_unguiculatus ENSMUGG00000011605
nannospalax_galili ENSNGAG00000015025
urocitellus_parryii ENSUPAG00010016677
