bison_bison_bison ENSBBBG00000003182
bos_mutus ENSBMUG00000009615
capra_hircus ENSCHIG00000011918
tursiops_truncatus ENSTTRG00000006803
sus_scrofa ENSSSCG00000031706
vicugna_pacos ENSVPAG00000008518
ursus_americanus ENSUAMG00000006366
ursus_maritimus ENSUMAG00000016340
ailuropoda_melanoleuca ENSAMEG00000005994
mustela_putorius_furo ENSMPUG00000013082
panthera_pardus ENSPPRG00000023011
panthera_tigris_altaica ENSPTIG00000008206
felis_catus ENSFCAG00000031513
equus_asinus_asinus ENSEASG00005005897
myotis_lucifugus ENSMLUG00000003436
erinaceus_europaeus ENSEEUG00000006760
sorex_araneus ENSSARG00000005652
cavia_porcellus ENSCPOG00000003851
cavia_aperea ENSCAPG00000013837
chinchilla_lanigera ENSCLAG00000017336
heterocephalus_glaber_female ENSHGLG00000008274
fukomys_damarensis ENSFDAG00000002581
urocitellus_parryii ENSUPAG00010015849
marmota_marmota_marmota ENSMMMG00000001603
spermophilus_dauricus ENSSDAG00000015239
ictidomys_tridecemlineatus ENSSTOG00000024040
cricetulus_griseus_chok1gshd ENSCGRG00001015264
cricetulus_griseus_crigri ENSCGRG00000003574
mesocricetus_auratus ENSMAUG00000000533
peromyscus_maniculatus_bairdii ENSPEMG00000000182
microtus_ochrogaster ENSMOCG00000020902
mus_spicilegus ENSMSIG00000028511
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031450
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030335
mus_pahari MGP_PahariEiJ_G0013547
rattus_norvegicus ENSRNOG00000016210
nannospalax_galili ENSNGAG00000005767
jaculus_jaculus ENSJJAG00000022447
dipodomys_ordii ENSDORG00000008188
ochotona_princeps ENSOPRG00000003343
tupaia_belangeri ENSTBEG00000001300
pan_paniscus ENSPPAG00000028227
pan_troglodytes ENSPTRG00000003371
gorilla_gorilla ENSGGOG00000013049
rhinopithecus_roxellana ENSRROG00000030623
rhinopithecus_bieti ENSRBIG00000038610
colobus_angolensis_palliatus ENSCANG00000028171
mandrillus_leucophaeus ENSMLEG00000028576
mandrillus_leucophaeus ENSMLEG00000038084
papio_anubis ENSPANG00000010376
cercocebus_atys ENSCATG00000000895
macaca_nemestrina ENSMNEG00000038530
macaca_mulatta ENSMMUG00000020955
macaca_fascicularis ENSMFAG00000001515
chlorocebus_sabaeus ENSCSAG00000004672
callithrix_jacchus ENSCJAG00000010364
cebus_capucinus ENSCCAG00000024252
saimiri_boliviensis_boliviensis ENSSBOG00000033370
aotus_nancymaae ENSANAG00000037762
carlito_syrichta ENSTSYG00000013037
propithecus_coquereli ENSPCOG00000022798
microcebus_murinus ENSMICG00000003062
otolemur_garnettii ENSOGAG00000029945
loxodonta_africana ENSLAFG00000026524
echinops_telfairi ENSETEG00000009853
dasypus_novemcinctus ENSDNOG00000041052
