cricetulus_griseus_chok1gshd ENSCGRG00001010032
cricetulus_griseus_crigri-picr ENSCGRG00015022588
cricetulus_griseus_crigri ENSCGRG00000019248
mus_musculus ENSMUSG00000105734
mus_spicilegus ENSMSIG00000005609
castor_canadensis ENSCCNG00000012572
urocitellus_parryii ENSUPAG00010002982
marmota_marmota_marmota ENSMMMG00000019184
spermophilus_dauricus ENSSDAG00000022630
piliocolobus_tephrosceles ENSPTEG00000030373
colobus_angolensis_palliatus ENSCANG00000038658
rhinopithecus_roxellana ENSRROG00000017486
rhinopithecus_bieti ENSRBIG00000017453
homo_sapiens ENSG00000283324
gorilla_gorilla ENSGGOG00000038429
pan_paniscus ENSPPAG00000024020
pan_troglodytes ENSPTRG00000043902
nomascus_leucogenys ENSNLEG00000035943
cebus_capucinus ENSCCAG00000006838
saimiri_boliviensis_boliviensis ENSSBOG00000016796
callithrix_jacchus ENSCJAG00000038980
aotus_nancymaae ENSANAG00000007098
microcebus_murinus ENSMICG00000044474
prolemur_simus ENSPSMG00000021975
propithecus_coquereli ENSPCOG00000010066
panthera_tigris_altaica ENSPTIG00000005780
panthera_pardus ENSPPRG00000015884
felis_catus ENSFCAG00000043025
neovison_vison ENSNVIG00000016170
bison_bison_bison ENSBBBG00000006318
bos_mutus ENSBMUG00000023928
