spermophilus_dauricus ENSSDAG00000005835
urocitellus_parryii ENSUPAG00010007084
ictidomys_tridecemlineatus ENSSTOG00000028880
marmota_marmota_marmota ENSMMMG00000009935
castor_canadensis ENSCCNG00000025761
heterocephalus_glaber_male ENSHGLG00100007216
heterocephalus_glaber_female ENSHGLG00000012020
fukomys_damarensis ENSFDAG00000016321
cavia_porcellus ENSCPOG00000009935
meriones_unguiculatus ENSMUGG00000014312
mus_spicilegus ENSMSIG00000001963
peromyscus_maniculatus_bairdii ENSPEMG00000028150
cricetulus_griseus_crigri-picr ENSCGRG00015022397
oryctolagus_cuniculus ENSOCUG00000000872
ochotona_princeps ENSOPRG00000018558
pan_troglodytes ENSPTRG00000048454
pan_troglodytes ENSPTRG00000028382
pan_paniscus ENSPPAG00000034149
gorilla_gorilla ENSGGOG00000010479
homo_sapiens ENSG00000257743
pongo_abelii ENSPPYG00000018075
nomascus_leucogenys ENSNLEG00000002615
cercocebus_atys ENSCATG00000032547
mandrillus_leucophaeus ENSMLEG00000036354
theropithecus_gelada ENSTGEG00000027695
papio_anubis ENSPANG00000029796
macaca_fascicularis ENSMFAG00000040766
macaca_nemestrina ENSMNEG00000040988
macaca_mulatta ENSMMUG00000019937
chlorocebus_sabaeus ENSCSAG00000007937
colobus_angolensis_palliatus ENSCANG00000030133
piliocolobus_tephrosceles ENSPTEG00000034639
rhinopithecus_bieti ENSRBIG00000029407
rhinopithecus_roxellana ENSRROG00000031694
cebus_capucinus ENSCCAG00000012164
saimiri_boliviensis_boliviensis ENSSBOG00000023030
callithrix_jacchus ENSCJAG00000036807
aotus_nancymaae ENSANAG00000028334
carlito_syrichta ENSTSYG00000007323
microcebus_murinus ENSMICG00000027181
prolemur_simus ENSPSMG00000005316
otolemur_garnettii ENSOGAG00000032017
ailuropoda_melanoleuca ENSAMEG00000014963
ursus_americanus ENSUAMG00000026647
neovison_vison ENSNVIG00000020796
mustela_putorius_furo ENSMPUG00000003013
canis_lupus_familiaris ENSCAFG00000025371
vulpes_vulpes ENSVVUG00000027701
panthera_tigris_altaica ENSPTIG00000007875
panthera_pardus ENSPPRG00000024888
felis_catus ENSFCAG00000022750
canis_lupus_familiaris ENSCAFG00000030631
equus_caballus ENSECAG00000010940
fukomys_damarensis ENSFDAG00000016274
fukomys_damarensis ENSFDAG00000016623
sus_scrofa ENSSSCG00000016487
vicugna_pacos ENSVPAG00000003690
ovis_aries ENSOARG00000014980
capra_hircus ENSCHIG00000015889
bos_mutus ENSBMUG00000007737
bison_bison_bison ENSBBBG00000015238
pteropus_vampyrus ENSPVAG00000016346
choloepus_hoffmanni ENSCHOG00000013974
procavia_capensis ENSPCAG00000006550
notamacropus_eugenii ENSMEUG00000010549
