ochotona_princeps ENSOPRG00000013407
oryctolagus_cuniculus ENSOCUG00000029351
marmota_marmota_marmota ENSMMMG00000000739
microcebus_murinus ENSMICG00000046265
prolemur_simus ENSPSMG00000024545
propithecus_coquereli ENSPCOG00000022586
pongo_abelii ENSPPYG00000015926
homo_sapiens ENSG00000204909
chlorocebus_sabaeus ENSCSAG00000011905
pan_troglodytes ENSPTRG00000028533
pan_paniscus ENSPPAG00000039891
gorilla_gorilla ENSGGOG00000023945
nomascus_leucogenys ENSNLEG00000010076
piliocolobus_tephrosceles ENSPTEG00000022293
colobus_angolensis_palliatus ENSCANG00000037277
rhinopithecus_bieti ENSRBIG00000033013
rhinopithecus_roxellana ENSRROG00000037699
cercocebus_atys ENSCATG00000036099
papio_anubis ENSPANG00000008614
mandrillus_leucophaeus ENSMLEG00000043753
theropithecus_gelada ENSTGEG00000000174
macaca_nemestrina ENSMNEG00000034418
macaca_mulatta ENSMMUG00000029782
macaca_fascicularis ENSMFAG00000044805
saimiri_boliviensis_boliviensis ENSSBOG00000021252
callithrix_jacchus ENSCJAG00000021232
cebus_capucinus ENSCCAG00000022106
aotus_nancymaae ENSANAG00000017436
carlito_syrichta ENSTSYG00000006905
procavia_capensis ENSPCAG00000015084
echinops_telfairi ENSETEG00000011637
vulpes_vulpes ENSVVUG00000014579
canis_lupus_familiaris ENSCAFG00000029333
ursus_maritimus ENSUMAG00000005675
ursus_americanus ENSUAMG00000024728
ailuropoda_melanoleuca ENSAMEG00000006559
panthera_pardus ENSPPRG00000006706
panthera_tigris_altaica ENSPTIG00000021684
felis_catus ENSFCAG00000035030
equus_caballus ENSECAG00000036703
equus_asinus_asinus ENSEASG00005002960
bos_mutus ENSBMUG00000025303
bos_taurus ENSBTAG00000052488
bison_bison_bison ENSBBBG00000025423
ovis_aries ENSOARG00000004524
capra_hircus ENSCHIG00000013135
sus_scrofa ENSSSCG00000014426
erinaceus_europaeus ENSEEUG00000002405
choloepus_hoffmanni ENSCHOG00000007355
monodelphis_domestica ENSMODG00000028081
monodelphis_domestica ENSMODG00000029113
