vombatus_ursinus ENSVURG00010022416
phascolarctos_cinereus ENSPCIG00000025135
ursus_americanus ENSUAMG00000009736
ursus_maritimus ENSUMAG00000022452
canis_lupus ENSCAFG00000011754
panthera_tigris ENSPTIG00000014842
equus_caballus ENSECAG00000014236
bos_indicus ENSBIXG00000030190
theropithecus_gelada ENSTGEG00000015459
papio_anubis ENSPANG00000014050
macaca_fascicularis ENSMFAG00000031757
cercocebus_atys ENSCATG00000045082
mandrillus_leucophaeus ENSMLEG00000043265
rhinopithecus_roxellana ENSRROG00000029756
rhinopithecus_bieti ENSRBIG00000035258
piliocolobus_tephrosceles ENSPTEG00000029306
homo_sapiens ENSG00000196459
pongo_abelii ENSPPYG00000010463
saimiri_boliviensis ENSSBOG00000031094
cebus_capucinus ENSCCAG00000022360
aotus_nancymaae ENSANAG00000036202
carlito_syrichta ENSTSYG00000009404
otolemur_garnettii ENSOGAG00000002870
otolemur_garnettii ENSOGAG00000030314
microcebus_murinus ENSMICG00000004690
meriones_unguiculatus ENSMUGG00000021126
cavia_porcellus ENSCPOG00000034287
parambassis_ranga ENSPRNG00000005400
oreochromis_niloticus ENSONIG00000016046
hucho_hucho ENSHHUG00000007084
callorhinchus_milii ENSCMIG00000009937
