oreochromis_niloticus ENSONIG00000011891
xiphophorus_couchianus ENSXCOG00000000108
gadus_morhua ENSGMOG00000000898
lepisosteus_oculatus ENSLOCG00000015216
octodon_degus ENSODEG00000010765
dipodomys_ordii ENSDORG00000014647
sorex_araneus ENSSARG00000013854
canis_lupus_familiaris ENSCAFG00000023043
ochotona_princeps ENSOPRG00000010570
procavia_capensis ENSPCAG00000005278
notamacropus_eugenii ENSMEUG00000014969
taeniopygia_guttata ENSTGUG00000012181
zonotrichia_albicollis ENSZALG00000000955
lepidothrix_coronata ENSLCOG00000007916
apteryx_rowi ENSARWG00000018377
