nothoprocta_perdicaria ENSNPEG00000015309
manacus_vitellinus ENSMVIG00005020035
chrysemys_picta_bellii ENSCPBG00000004006
sphenodon_punctatus ENSSPUG00000002929
ursus_americanus ENSUAMG00000005365
ursus_maritimus ENSUMAG00000020101
neovison_vison ENSNVIG00000014417
bos_taurus ENSBTAG00000027809
castor_canadensis ENSCCNG00000003958
carlito_syrichta ENSTSYG00000006341
ursus_americanus ENSUAMG00000002701
prolemur_simus ENSPSMG00000003498
dasypus_novemcinctus ENSDNOG00000046256
xiphophorus_couchianus ENSXCOG00000010436
acanthochromis_polyacanthus ENSAPOG00000020499
periophthalmus_magnuspinnatus ENSPMGG00000019016
