amphiprion_ocellaris ENSAOCG00000006034
amphiprion_percula ENSAPEG00000016032
acanthochromis_polyacanthus ENSAPOG00000012116
fundulus_heteroclitus ENSFHEG00000005097
cyprinodon_variegatus ENSCVAG00000005569
poecilia_latipinna ENSPLAG00000002606
poecilia_mexicana ENSPMEG00000020083
poecilia_reticulata ENSPREG00000018378
seriola_lalandi_dorsalis ENSSLDG00000008149
seriola_lalandi_dorsalis ENSSLDG00000003522
seriola_dumerili ENSSDUG00000007259
scophthalmus_maximus ENSSMAG00000004141
monopterus_albus ENSMALG00000002202
labrus_bergylta ENSLBEG00000005951
oryzias_latipes_asm223469v1 ENSORLG00015014070
oryzias_latipes ENSORLG00020018771
oryzias_latipes ENSORLG00000028701
oryzias_melastigma ENSOMEG00000021150
cynoglossus_semilaevis ENSCSEG00000018906
esox_lucius ENSELUG00000007265
ictalurus_punctatus ENSIPUG00000010438
