fukomys_damarensis ENSFDAG00000019511
chinchilla_lanigera ENSCLAG00000015687
dipodomys_ordii ENSDORG00000025340
oryctolagus_cuniculus ENSOCUG00000006285
ochotona_princeps ENSOPRG00000010534
mus_spicilegus ENSMSIG00000004858
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030614
mus_musculus ENSMUSG00000064109
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029518
mus_pahari MGP_PahariEiJ_G0012752
rattus_norvegicus ENSRNOG00000020849
meriones_unguiculatus ENSMUGG00000012512
cricetulus_griseus_chok1gshd ENSCGRG00001016588
cricetulus_griseus_crigri-picr ENSCGRG00015016557
mesocricetus_auratus ENSMAUG00000012969
peromyscus_maniculatus_bairdii ENSPEMG00000002009
microtus_ochrogaster ENSMOCG00000020380
nannospalax_galili ENSNGAG00000000336
jaculus_jaculus ENSJJAG00000010868
castor_canadensis ENSCCNG00000009017
ictidomys_tridecemlineatus ENSSTOG00000031915
spermophilus_dauricus ENSSDAG00000009606
urocitellus_parryii ENSUPAG00010012456
marmota_marmota_marmota ENSMMMG00000004859
callithrix_jacchus ENSCJAG00000009797
cebus_capucinus ENSCCAG00000030056
saimiri_boliviensis_boliviensis ENSSBOG00000030309
aotus_nancymaae ENSANAG00000019644
cercocebus_atys ENSCATG00000034100
chlorocebus_sabaeus ENSCSAG00000004288
macaca_mulatta ENSMMUG00000019758
macaca_nemestrina ENSMNEG00000028287
macaca_fascicularis ENSMFAG00000037963
papio_anubis ENSPANG00000025199
theropithecus_gelada ENSTGEG00000008612
mandrillus_leucophaeus ENSMLEG00000021117
rhinopithecus_roxellana ENSRROG00000031527
rhinopithecus_bieti ENSRBIG00000034518
piliocolobus_tephrosceles ENSPTEG00000012373
colobus_angolensis_palliatus ENSCANG00000028586
pan_paniscus ENSPPAG00000034831
pan_troglodytes ENSPTRG00000010875
homo_sapiens ENSG00000126264
gorilla_gorilla ENSGGOG00000015328
pongo_abelii ENSPPYG00000009888
nomascus_leucogenys ENSNLEG00000011589
carlito_syrichta ENSTSYG00000000471
propithecus_coquereli ENSPCOG00000019909
microcebus_murinus ENSMICG00000028917
prolemur_simus ENSPSMG00000001261
sus_scrofa ENSSSCG00000002918
myotis_lucifugus ENSMLUG00000016008
bos_mutus ENSBMUG00000017684
bos_taurus ENSBTAG00000007336
bison_bison_bison ENSBBBG00000008308
ovis_aries ENSOARG00000005164
capra_hircus ENSCHIG00000024763
tursiops_truncatus ENSTTRG00000003910
pteropus_vampyrus ENSPVAG00000012864
pteropus_vampyrus ENSPVAG00000002650
equus_caballus ENSECAG00000017892
equus_asinus_asinus ENSEASG00005001442
canis_lupus_familiaris ENSCAFG00000032284
canis_lupus_dingo ENSCAFG00020018171
vulpes_vulpes ENSVVUG00000013690
neovison_vison ENSNVIG00000016517
ursus_americanus ENSUAMG00000020587
ursus_maritimus ENSUMAG00000020737
panthera_pardus ENSPPRG00000014427
panthera_tigris_altaica ENSPTIG00000016087
felis_catus ENSFCAG00000035042
loxodonta_africana ENSLAFG00000000019
procavia_capensis ENSPCAG00000016891
echinops_telfairi ENSETEG00000003153
choloepus_hoffmanni ENSCHOG00000008602
dasypus_novemcinctus ENSDNOG00000039708
sarcophilus_harrisii ENSSHAG00000010100
