mastacembelus_armatus ENSMAMG00000023246
monopterus_albus ENSMALG00000016539
anabas_testudineus ENSATEG00000016824
oryzias_latipes_asm223469v1 ENSORLG00015012698
oryzias_melastigma ENSOMEG00000015487
xiphophorus_couchianus ENSXCOG00000018223
xiphophorus_maculatus ENSXMAG00000028720
gambusia_affinis ENSGAFG00000000981
cyprinodon_variegatus ENSCVAG00000007290
acanthochromis_polyacanthus ENSAPOG00000022137
stegastes_partitus ENSSPAG00000017461
mola_mola ENSMMOG00000012317
takifugu_rubripes ENSTRUG00000022593
labrus_bergylta ENSLBEG00000027463
