lonchura_striata_domestica ENSLSDG00000016977
taeniopygia_guttata ENSTGUG00000010896
serinus_canaria ENSSCAG00000001548
cyanistes_caeruleus ENSCCEG00000003414
parus_major ENSPMJG00000014713
junco_hyemalis ENSJHYG00000007682
zonotrichia_albicollis ENSZALG00000008326
ficedula_albicollis ENSFALG00000006053
manacus_vitellinus ENSMVIG00005010058
lepidothrix_coronata ENSLCOG00000012008
melopsittacus_undulatus ENSMUNG00000001493
calidris_pygmaea ENSCPGG00000015819
calidris_pugnax ENSCPUG00000014355
anser_brachyrhynchus ENSABRG00000015910
anas_platyrhynchos_platyrhynchos ENSAPLG00000010456
coturnix_japonica ENSCJPG00005014433
meleagris_gallopavo ENSMGAG00000011257
gallus_gallus ENSGALG00000008631
numida_meleagris ENSNMEG00000019632
apteryx_haastii ENSAHAG00000003629
apteryx_owenii ENSAOWG00000006536
apteryx_rowi ENSARWG00000009200
dromaius_novaehollandiae ENSDNVG00000018294
nothoprocta_perdicaria ENSNPEG00000003356
crocodylus_porosus ENSCPRG00005018547
gopherus_agassizii ENSGAGG00000023841
chelonoidis_abingdonii ENSCABG00000005793
chrysemys_picta_bellii ENSCPBG00000013365
pelodiscus_sinensis ENSPSIG00000015036
pogona_vitticeps ENSPVIG00000019504
anolis_carolinensis ENSACAG00000014118
notechis_scutatus ENSNSUG00000008014
salvator_merianae ENSSMRG00000010231
sphenodon_punctatus ENSSPUG00000002148
loxodonta_africana ENSLAFG00000017791
procavia_capensis ENSPCAG00000003901
echinops_telfairi ENSETEG00000006168
dasypus_novemcinctus ENSDNOG00000032240
pteropus_vampyrus ENSPVAG00000016358
myotis_lucifugus ENSMLUG00000016172
equus_caballus ENSECAG00000017862
equus_asinus_asinus ENSEASG00005015986
ursus_maritimus ENSUMAG00000011990
ursus_americanus ENSUAMG00000023627
ailuropoda_melanoleuca ENSAMEG00000016607
neovison_vison ENSNVIG00000017709
mustela_putorius_furo ENSMPUG00000008955
canis_lupus_dingo ENSCAFG00020005262
canis_lupus_familiaris ENSCAFG00000009632
vulpes_vulpes ENSVVUG00000026743
panthera_tigris_altaica ENSPTIG00000011631
panthera_pardus ENSPPRG00000012013
felis_catus ENSFCAG00000012620
tursiops_truncatus ENSTTRG00000002797
sus_scrofa ENSSSCG00000004744
bos_mutus ENSBMUG00000018985
bos_taurus ENSBTAG00000001694
bison_bison_bison ENSBBBG00000014439
capra_hircus ENSCHIG00000014303
ovis_aries ENSOARG00000020387
pan_paniscus ENSPPAG00000039622
pan_troglodytes ENSPTRG00000006951
gorilla_gorilla ENSGGOG00000000802
homo_sapiens ENSG00000092445
pongo_abelii ENSPPYG00000006378
nomascus_leucogenys ENSNLEG00000003740
mandrillus_leucophaeus ENSMLEG00000042942
cercocebus_atys ENSCATG00000036454
theropithecus_gelada ENSTGEG00000002573
papio_anubis ENSPANG00000018799
macaca_fascicularis ENSMFAG00000003863
macaca_nemestrina ENSMNEG00000039123
macaca_mulatta ENSMMUG00000013803
chlorocebus_sabaeus ENSCSAG00000007818
piliocolobus_tephrosceles ENSPTEG00000026133
colobus_angolensis_palliatus ENSCANG00000028417
rhinopithecus_roxellana ENSRROG00000033779
rhinopithecus_bieti ENSRBIG00000028802
pan_troglodytes ENSPTRG00000039189
pan_paniscus ENSPPAG00000038187
gorilla_gorilla ENSGGOG00000023253
pongo_abelii ENSPPYG00000006675
nomascus_leucogenys ENSNLEG00000008203
cercocebus_atys ENSCATG00000035230
mandrillus_leucophaeus ENSMLEG00000039130
macaca_fascicularis ENSMFAG00000037772
macaca_nemestrina ENSMNEG00000019468
colobus_angolensis_palliatus ENSCANG00000029109
cebus_capucinus ENSCCAG00000033613
saimiri_boliviensis_boliviensis ENSSBOG00000031352
callithrix_jacchus ENSCJAG00000020700
aotus_nancymaae ENSANAG00000037336
carlito_syrichta ENSTSYG00000003555
prolemur_simus ENSPSMG00000006095
microcebus_murinus ENSMICG00000015918
propithecus_coquereli ENSPCOG00000025573
otolemur_garnettii ENSOGAG00000012861
tupaia_belangeri ENSTBEG00000008133
castor_canadensis ENSCCNG00000011459
dipodomys_ordii ENSDORG00000000506
cricetulus_griseus_chok1gshd ENSCGRG00001004655
cricetulus_griseus_crigri-picr ENSCGRG00015023602
cricetulus_griseus_crigri ENSCGRG00000008402
mesocricetus_auratus ENSMAUG00000001705
peromyscus_maniculatus_bairdii ENSPEMG00000009833
microtus_ochrogaster ENSMOCG00000013604
mus_musculus ENSMUSG00000027298
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025070
mus_spicilegus ENSMSIG00000026942
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024154
