equus_asinus_asinus ENSEASG00005017890
equus_caballus ENSECAG00000020780
erinaceus_europaeus ENSEEUG00000001299
bos_taurus ENSBTAG00000018315
bos_mutus ENSBMUG00000004821
bison_bison_bison ENSBBBG00000014246
capra_hircus ENSCHIG00000026719
ovis_aries ENSOARG00000008090
tursiops_truncatus ENSTTRG00000007616
sus_scrofa ENSSSCG00000017924
ursus_americanus ENSUAMG00000009938
ursus_maritimus ENSUMAG00000014503
ailuropoda_melanoleuca ENSAMEG00000016199
neovison_vison ENSNVIG00000020156
mustela_putorius_furo ENSMPUG00000010785
canis_lupus_familiaris ENSCAFG00000015914
canis_lupus_dingo ENSCAFG00020011106
vulpes_vulpes ENSVVUG00000027526
felis_catus ENSFCAG00000022191
panthera_pardus ENSPPRG00000024690
pteropus_vampyrus ENSPVAG00000003992
myotis_lucifugus ENSMLUG00000002515
sorex_araneus ENSSARG00000008391
pan_troglodytes ENSPTRG00000008598
pan_paniscus ENSPPAG00000038790
homo_sapiens ENSG00000141456
gorilla_gorilla ENSGGOG00000004778
pongo_abelii ENSPPYG00000029919
nomascus_leucogenys ENSNLEG00000017370
macaca_fascicularis ENSMFAG00000042883
macaca_mulatta ENSMMUG00000010150
macaca_nemestrina ENSMNEG00000030617
theropithecus_gelada ENSTGEG00000018607
mandrillus_leucophaeus ENSMLEG00000040717
papio_anubis ENSPANG00000024344
cercocebus_atys ENSCATG00000031452
chlorocebus_sabaeus ENSCSAG00000013102
colobus_angolensis_palliatus ENSCANG00000030679
piliocolobus_tephrosceles ENSPTEG00000038237
rhinopithecus_roxellana ENSRROG00000030871
rhinopithecus_bieti ENSRBIG00000042665
cebus_capucinus ENSCCAG00000037754
saimiri_boliviensis_boliviensis ENSSBOG00000023118
aotus_nancymaae ENSANAG00000034054
callithrix_jacchus ENSCJAG00000012265
carlito_syrichta ENSTSYG00000032229
prolemur_simus ENSPSMG00000003311
microcebus_murinus ENSMICG00000001633
propithecus_coquereli ENSPCOG00000023542
otolemur_garnettii ENSOGAG00000003019
tupaia_belangeri ENSTBEG00000010264
castor_canadensis ENSCCNG00000008625
dipodomys_ordii ENSDORG00000013657
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017465
mus_spicilegus ENSMSIG00000020241
mus_musculus ENSMUSG00000018921
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016629
mus_pahari MGP_PahariEiJ_G0017760
rattus_norvegicus ENSRNOG00000019268
meriones_unguiculatus ENSMUGG00000022705
peromyscus_maniculatus_bairdii ENSPEMG00000008891
microtus_ochrogaster ENSMOCG00000010756
cricetulus_griseus_chok1gshd ENSCGRG00001000840
cricetulus_griseus_crigri-picr ENSCGRG00015006395
mesocricetus_auratus ENSMAUG00000012869
nannospalax_galili ENSNGAG00000011496
jaculus_jaculus ENSJJAG00000013033
chinchilla_lanigera ENSCLAG00000009775
octodon_degus ENSODEG00000017225
heterocephalus_glaber_female ENSHGLG00000012390
heterocephalus_glaber_male ENSHGLG00100013196
fukomys_damarensis ENSFDAG00000016451
cavia_porcellus ENSCPOG00000000208
cavia_aperea ENSCAPG00000005521
urocitellus_parryii ENSUPAG00010002297
spermophilus_dauricus ENSSDAG00000005464
marmota_marmota_marmota ENSMMMG00000017534
ictidomys_tridecemlineatus ENSSTOG00000015512
oryctolagus_cuniculus ENSOCUG00000014885
ochotona_princeps ENSOPRG00000001807
dasypus_novemcinctus ENSDNOG00000010696
loxodonta_africana ENSLAFG00000013717
procavia_capensis ENSPCAG00000011476
echinops_telfairi ENSETEG00000017394
phascolarctos_cinereus ENSPCIG00000017329
notamacropus_eugenii ENSMEUG00000001946
sarcophilus_harrisii ENSSHAG00000000754
monodelphis_domestica ENSMODG00000005708
chrysemys_picta_bellii ENSCPBG00000013021
chelonoidis_abingdonii ENSCABG00000020556
pelodiscus_sinensis ENSPSIG00000003171
pogona_vitticeps ENSPVIG00000016579
salvator_merianae ENSSMRG00000000097
latimeria_chalumnae ENSLACG00000007456
xiphophorus_couchianus ENSXCOG00000003741
oryzias_latipes_asm223469v1 ENSORLG00015012911
scophthalmus_maximus ENSSMAG00000008773
astatotilapia_calliptera ENSACLG00000015863
periophthalmus_magnuspinnatus ENSPMGG00000000361
paramormyrops_kingsleyae ENSPKIG00000000176
