hucho_hucho ENSHHUG00000036061
esox_lucius ENSELUG00000023841
hippocampus_comes ENSHCOG00000002028
periophthalmus_magnuspinnatus ENSPMGG00000006685
poecilia_reticulata ENSPREG00000011846
poecilia_formosa ENSPFOG00000023696
poecilia_formosa ENSPFOG00000010096
fundulus_heteroclitus ENSFHEG00000022437
oreochromis_niloticus ENSONIG00000009381
astatotilapia_calliptera ENSACLG00000016774
parambassis_ranga ENSPRNG00000007423
tetraodon_nigroviridis ENSTNIG00000001111
cynoglossus_semilaevis ENSCSEG00000010590
acanthochromis_polyacanthus ENSAPOG00000007026
amphiprion_percula ENSAPEG00000007344
kryptolebias_marmoratus ENSKMAG00000004311
lates_calcarifer ENSLCAG00010009453
lates_calcarifer ENSLCAG00010000134
mastacembelus_armatus ENSMAMG00000017936
gasterosteus_aculeatus ENSGACG00000015000
oryzias_latipes ENSORLG00015011754
oryzias_latipes ENSORLG00020020946
oryzias_melastigma ENSOMEG00000020062
stegastes_partitus ENSSPAG00000019017
larimichthys_crocea ENSLCRG00005005827
seriola_dumerili ENSSDUG00000005954
seriola_lalandi ENSSLDG00000012466
scophthalmus_maximus ENSSMAG00000016597
anabas_testudineus ENSATEG00000017612
gadus_morhua ENSGMOG00000000324
denticeps_clupeoides ENSDCDG00000026477
clupea_harengus ENSCHAG00000010102
astyanax_mexicanus ENSAMXG00000003379
astyanax_mexicanus ENSAMXG00005012588
pygocentrus_nattereri ENSPNAG00000014624
ictalurus_punctatus ENSIPUG00000001830
electrophorus_electricus ENSEEEG00000002869
danio_rerio ENSDARG00000011360
scleropages_formosus ENSSFOG00015001294
erpetoichthys_calabaricus ENSECRG00000014653
gopherus_agassizii ENSGAGG00000001261
chelonoidis_abingdonii ENSCABG00000014007
chrysemys_picta ENSCPBG00000003929
apteryx_owenii ENSAOWG00000019386
anolis_carolinensis ENSACAG00000005762
pogona_vitticeps ENSPVIG00000018209
salvator_merianae ENSSMRG00000004278
phascolarctos_cinereus ENSPCIG00000025214
phascolarctos_cinereus ENSPCIG00000031657
vombatus_ursinus ENSVURG00010007555
vombatus_ursinus ENSVURG00010012141
notamacropus_eugenii ENSMEUG00000016723
sarcophilus_harrisii ENSSHAG00000012594
monodelphis_domestica ENSMODG00000046011
mus_spicilegus ENSMSIG00000016853
mus_spretus MGP_SPRETEiJ_G0031557
mus_musculus ENSMUSG00000030722
mus_caroli MGP_CAROLIEiJ_G0030443
mus_pahari MGP_PahariEiJ_G0013653
rattus_norvegicus ENSRNOG00000057384
meriones_unguiculatus ENSMUGG00000011409
cricetulus_griseus ENSCGRG00001023795
cricetulus_griseus ENSCGRG00000001574
cricetulus_griseus ENSCGRG00015025958
mesocricetus_auratus ENSMAUG00000013997
microtus_ochrogaster ENSMOCG00000013210
peromyscus_maniculatus ENSPEMG00000017350
nannospalax_galili ENSNGAG00000011194
jaculus_jaculus ENSJJAG00000015857
chinchilla_lanigera ENSCLAG00000014295
cavia_porcellus ENSCPOG00000025814
octodon_degus ENSODEG00000014108
heterocephalus_glaber ENSHGLG00000014293
heterocephalus_glaber ENSHGLG00100001438
fukomys_damarensis ENSFDAG00000010633
marmota_marmota ENSMMMG00000023596
spermophilus_dauricus ENSSDAG00000008421
urocitellus_parryii ENSUPAG00010011493
ictidomys_tridecemlineatus ENSSTOG00000022263
castor_canadensis ENSCCNG00000001885
myotis_lucifugus ENSMLUG00000025406
oryctolagus_cuniculus ENSOCUG00000002695
dipodomys_ordii ENSDORG00000024986
tupaia_belangeri ENSTBEG00000015914
microcebus_murinus ENSMICG00000000674
propithecus_coquereli ENSPCOG00000008224
prolemur_simus ENSPSMG00000022553
otolemur_garnettii ENSOGAG00000006885
cebus_capucinus ENSCCAG00000023222
callithrix_jacchus ENSCJAG00000006133
saimiri_boliviensis ENSSBOG00000023378
aotus_nancymaae ENSANAG00000031935
piliocolobus_tephrosceles ENSPTEG00000021422
colobus_angolensis ENSCANG00000027982
rhinopithecus_bieti ENSRBIG00000042929
rhinopithecus_roxellana ENSRROG00000036489
macaca_fascicularis ENSMFAG00000028824
macaca_nemestrina ENSMNEG00000033558
macaca_mulatta ENSMMUG00000006878
cercocebus_atys ENSCATG00000036741
theropithecus_gelada ENSTGEG00000016815
mandrillus_leucophaeus ENSMLEG00000043193
papio_anubis ENSPANG00000014560
chlorocebus_sabaeus ENSCSAG00000006345
pan_paniscus ENSPPAG00000031658
pan_troglodytes ENSPTRG00000007945
homo_sapiens ENSG00000176953
gorilla_gorilla ENSGGOG00000001960
pongo_abelii ENSPPYG00000007222
nomascus_leucogenys ENSNLEG00000011397
vulpes_vulpes ENSVVUG00000024159
canis_lupus ENSCAFG00000017306
ursus_americanus ENSUAMG00000015766
felis_catus ENSFCAG00000004400
pteropus_vampyrus ENSPVAG00000003975
ursus_maritimus ENSUMAG00000007453
ursus_americanus ENSUAMG00000015765
ailuropoda_melanoleuca ENSAMEG00000015704
mustela_putorius ENSMPUG00000012877
neovison_vison ENSNVIG00000005083
canis_lupus ENSCAFG00020011825
panthera_tigris ENSPTIG00000021657
panthera_pardus ENSPPRG00000021925
myotis_lucifugus ENSMLUG00000011851
carlito_syrichta ENSTSYG00000025952
ochotona_princeps ENSOPRG00000000002
loxodonta_africana ENSLAFG00000021501
echinops_telfairi ENSETEG00000001722
tursiops_truncatus ENSTTRG00000007918
vicugna_pacos ENSVPAG00000006810
bos_indicus ENSBIXG00000008962
bos_indicus ENSBIXG00005003710
bos_taurus ENSBTAG00000014650
bos_mutus ENSBMUG00000001691
bison_bison ENSBBBG00000018909
capra_hircus ENSCHIG00000018034
ovis_aries ENSOARG00000001555
sus_scrofa ENSSSCG00000007808
equus_caballus ENSECAG00000010483
equus_asinus ENSEASG00005017217
procavia_capensis ENSPCAG00000015793
dasypus_novemcinctus ENSDNOG00000032794
choloepus_hoffmanni ENSCHOG00000011828
ornithorhynchus_anatinus ENSOANG00000008850
latimeria_chalumnae ENSLACG00000007304
