saimiri_boliviensis_boliviensis ENSSBOG00000026728
callithrix_jacchus ENSCJAG00000039104
pan_troglodytes ENSPTRG00000047780
pan_paniscus ENSPPAG00000031187
gorilla_gorilla ENSGGOG00000041196
nomascus_leucogenys ENSNLEG00000033490
colobus_angolensis_palliatus ENSCANG00000028414
piliocolobus_tephrosceles ENSPTEG00000027236
rhinopithecus_roxellana ENSRROG00000043385
rhinopithecus_bieti ENSRBIG00000041483
macaca_nemestrina ENSMNEG00000033517
macaca_fascicularis ENSMFAG00000042048
cercocebus_atys ENSCATG00000042845
mandrillus_leucophaeus ENSMLEG00000043742
papio_anubis ENSPANG00000035712
