pelodiscus_sinensis ENSPSIG00000008462
anolis_carolinensis ENSACAG00000008605
dipodomys_ordii ENSDORG00000028275
castor_canadensis ENSCCNG00000024530
cricetulus_griseus_chok1gshd ENSCGRG00001015502
cricetulus_griseus_crigri ENSCGRG00000018383
cricetulus_griseus_crigri-picr ENSCGRG00015016249
mesocricetus_auratus ENSMAUG00000016074
peromyscus_maniculatus_bairdii ENSPEMG00000015096
microtus_ochrogaster ENSMOCG00000002535
mus_spicilegus ENSMSIG00000003855
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023455
mus_musculus ENSMUSG00000038498
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022541
mus_pahari MGP_PahariEiJ_G0014038
meriones_unguiculatus ENSMUGG00000001882
nannospalax_galili ENSNGAG00000010569
jaculus_jaculus ENSJJAG00000019273
heterocephalus_glaber_male ENSHGLG00100017408
heterocephalus_glaber_female ENSHGLG00000015601
fukomys_damarensis ENSFDAG00000016273
chinchilla_lanigera ENSCLAG00000014999
urocitellus_parryii ENSUPAG00010009106
spermophilus_dauricus ENSSDAG00000012960
oryctolagus_cuniculus ENSOCUG00000016490
ochotona_princeps ENSOPRG00000002908
tupaia_belangeri ENSTBEG00000003936
pan_paniscus ENSPPAG00000037923
pan_troglodytes ENSPTRG00000003909
homo_sapiens ENSG00000175294
gorilla_gorilla ENSGGOG00000013686
pongo_abelii ENSPPYG00000003036
nomascus_leucogenys ENSNLEG00000006004
rhinopithecus_roxellana ENSRROG00000043663
rhinopithecus_bieti ENSRBIG00000041223
colobus_angolensis_palliatus ENSCANG00000042107
piliocolobus_tephrosceles ENSPTEG00000032735
mandrillus_leucophaeus ENSMLEG00000026479
cercocebus_atys ENSCATG00000037860
theropithecus_gelada ENSTGEG00000010033
theropithecus_gelada ENSTGEG00000012158
papio_anubis ENSPANG00000004689
macaca_nemestrina ENSMNEG00000036732
macaca_fascicularis ENSMFAG00000000565
chlorocebus_sabaeus ENSCSAG00000008106
cebus_capucinus ENSCCAG00000032066
saimiri_boliviensis_boliviensis ENSSBOG00000035318
callithrix_jacchus ENSCJAG00000001712
aotus_nancymaae ENSANAG00000023336
carlito_syrichta ENSTSYG00000031718
propithecus_coquereli ENSPCOG00000017509
microcebus_murinus ENSMICG00000017211
prolemur_simus ENSPSMG00000022545
otolemur_garnettii ENSOGAG00000016536
ursus_maritimus ENSUMAG00000010985
ursus_americanus ENSUAMG00000020757
ailuropoda_melanoleuca ENSAMEG00000017243
mustela_putorius_furo ENSMPUG00000011368
neovison_vison ENSNVIG00000015066
canis_lupus_familiaris ENSCAFG00000013070
canis_lupus_dingo ENSCAFG00020015366
vulpes_vulpes ENSVVUG00000027031
panthera_pardus ENSPPRG00000013812
panthera_tigris_altaica ENSPTIG00000016494
felis_catus ENSFCAG00000013283
equus_asinus_asinus ENSEASG00005004488
equus_caballus ENSECAG00000024405
pteropus_vampyrus ENSPVAG00000016973
myotis_lucifugus ENSMLUG00000006432
bos_mutus ENSBMUG00000000708
bos_taurus ENSBTAG00000014720
bison_bison_bison ENSBBBG00000006632
ovis_aries ENSOARG00000001498
sus_scrofa ENSSSCG00000012959
dasypus_novemcinctus ENSDNOG00000019726
erinaceus_europaeus ENSEEUG00000001211
loxodonta_africana ENSLAFG00000027778
procavia_capensis ENSPCAG00000000457
phascolarctos_cinereus ENSPCIG00000008340
latimeria_chalumnae ENSLACG00000017650
esox_lucius ENSELUG00000016980
astyanax_mexicanus ENSAMXG00000009570
lepisosteus_oculatus ENSLOCG00000001555
