astatotilapia_calliptera ENSACLG00000008978
haplochromis_burtoni ENSHBUG00000023867
pundamilia_nyererei ENSPNYG00000020763
maylandia_zebra ENSMZEG00005001063
poecilia_reticulata ENSPREG00000010603
cyprinodon_variegatus ENSCVAG00000008324
amphiprion_ocellaris ENSAOCG00000015914
amphiprion_percula ENSAPEG00000002224
parambassis_ranga ENSPRNG00000011055
oryzias_latipes ENSORLG00020007171
seriola_dumerili ENSSDUG00000002394
labrus_bergylta ENSLBEG00000006362
mastacembelus_armatus ENSMAMG00000017728
hippocampus_comes ENSHCOG00000007180
amphiprion_percula ENSAPEG00000002274
amphiprion_ocellaris ENSAOCG00000015951
oryzias_latipes ENSORLG00000023176
oryzias_latipes ENSORLG00020007084
oryzias_latipes ENSORLG00000023542
oryzias_latipes ENSORLG00020006029
oryzias_latipes ENSORLG00000030284
oryzias_melastigma ENSOMEG00000002509
oryzias_melastigma ENSOMEG00000009566
oryzias_melastigma ENSOMEG00000006903
oryzias_melastigma ENSOMEG00000021030
oryzias_melastigma ENSOMEG00000012368
oryzias_melastigma ENSOMEG00000023475
oryzias_melastigma ENSOMEG00000002000
oryzias_melastigma ENSOMEG00000006327
oryzias_melastigma ENSOMEG00000002084
mola_mola ENSMMOG00000004242
cottoperca_gobio ENSCGOG00000010096
seriola_lalandi ENSSLDG00000024685
denticeps_clupeoides ENSDCDG00000005663
pygocentrus_nattereri ENSPNAG00000018051
esox_lucius ENSELUG00000014407
lepisosteus_oculatus ENSLOCG00000012121
monodelphis_domestica ENSMODG00000051572
sarcophilus_harrisii ENSSHAG00000015609
notamacropus_eugenii ENSMEUG00000003051
prolemur_simus ENSPSMG00000005219
salvator_merianae ENSSMRG00000017394
eptatretus_burgeri ENSEBUG00000010003
drosophila_melanogaster FBgn0004237
drosophila_melanogaster FBgn0001215
drosophila_melanogaster FBgn0004903
