clupea_harengus ENSCHAG00000022460
denticeps_clupeoides ENSDCDG00000005868
ictalurus_punctatus ENSIPUG00000020444
electrophorus_electricus ENSEEEG00000021481
astyanax_mexicanus ENSAMXG00000032060
astyanax_mexicanus ENSAMXG00005008468
pygocentrus_nattereri ENSPNAG00000026378
danio_rerio ENSDARG00000024846
hucho_hucho ENSHHUG00000004137
hucho_hucho ENSHHUG00000002440
esox_lucius ENSELUG00000009971
poecilia_formosa ENSPFOG00000004405
poecilia_latipinna ENSPLAG00000011148
poecilia_mexicana ENSPMEG00000016382
xiphophorus_couchianus ENSXCOG00000016159
xiphophorus_maculatus ENSXMAG00000026428
cyprinodon_variegatus ENSCVAG00000008319
fundulus_heteroclitus ENSFHEG00000010761
kryptolebias_marmoratus ENSKMAG00000007738
oryzias_latipes ENSORLG00015023133
oryzias_latipes ENSORLG00000008172
oryzias_latipes ENSORLG00020022338
oryzias_melastigma ENSOMEG00000018087
cynoglossus_semilaevis ENSCSEG00000015213
takifugu_rubripes ENSTRUG00000007598
tetraodon_nigroviridis ENSTNIG00000017840
gasterosteus_aculeatus ENSGACG00000001602
scophthalmus_maximus ENSSMAG00000001313
anabas_testudineus ENSATEG00000007220
betta_splendens ENSBSLG00000004929
mastacembelus_armatus ENSMAMG00000009503
labrus_bergylta ENSLBEG00000027418
gouania_willdenowi ENSGWIG00000006960
larimichthys_crocea ENSLCRG00005005540
cottoperca_gobio ENSCGOG00000019563
seriola_dumerili ENSSDUG00000006205
seriola_lalandi ENSSLDG00000004007
lates_calcarifer ENSLCAG00010024725
monopterus_albus ENSMALG00000003210
mola_mola ENSMMOG00000019268
pundamilia_nyererei ENSPNYG00000016623
maylandia_zebra ENSMZEG00005021545
haplochromis_burtoni ENSHBUG00000001199
astatotilapia_calliptera ENSACLG00000000629
neolamprologus_brichardi ENSNBRG00000011147
oreochromis_niloticus ENSONIG00000007833
parambassis_ranga ENSPRNG00000019245
amphiprion_percula ENSAPEG00000002579
amphiprion_ocellaris ENSAOCG00000024070
acanthochromis_polyacanthus ENSAPOG00000011179
amphilophus_citrinellus ENSACIG00000008022
stegastes_partitus ENSSPAG00000020331
periophthalmus_magnuspinnatus ENSPMGG00000008654
hippocampus_comes ENSHCOG00000002407
gadus_morhua ENSGMOG00000000682
scleropages_formosus ENSSFOG00015012345
paramormyrops_kingsleyae ENSPKIG00000011676
lepisosteus_oculatus ENSLOCG00000004879
erpetoichthys_calabaricus ENSECRG00000018930
callorhinchus_milii ENSCMIG00000015116
ciona_intestinalis ENSCING00000011567
ciona_savignyi ENSCSAVG00000004076
