chrysemys_picta ENSCPBG00000001608
chelonoidis_abingdonii ENSCABG00000000121
pelodiscus_sinensis ENSPSIG00000013182
apteryx_haastii ENSAHAG00000017388
apteryx_rowi ENSARWG00000012636
apteryx_owenii ENSAOWG00000006097
dromaius_novaehollandiae ENSDNVG00000012707
nothoprocta_perdicaria ENSNPEG00000014538
calidris_pugnax ENSCPUG00000019047
calidris_pygmaea ENSCPGG00000010336
anser_brachyrhynchus ENSABRG00000004044
anas_platyrhynchos ENSAPLG00000015422
meleagris_gallopavo ENSMGAG00000016208
coturnix_japonica ENSCJPG00005000335
gallus_gallus ENSGALG00000034282
meleagris_gallopavo ENSMGAG00000016197
numida_meleagris ENSNMEG00000014064
serinus_canaria ENSSCAG00000007346
lonchura_striata ENSLSDG00000002921
junco_hyemalis ENSJHYG00000000476
parus_major ENSPMJG00000003250
manacus_vitellinus ENSMVIG00005009285
manacus_vitellinus ENSMVIG00005004016
lepidothrix_coronata ENSLCOG00000002798
melopsittacus_undulatus ENSMUNG00000007698
sphenodon_punctatus ENSSPUG00000005403
anolis_carolinensis ENSACAG00000004176
pogona_vitticeps ENSPVIG00000018661
notechis_scutatus ENSNSUG00000011689
salvator_merianae ENSSMRG00000002785
xenopus_tropicalis ENSXETG00000013655
latimeria_chalumnae ENSLACG00000005417
erpetoichthys_calabaricus ENSECRG00000019441
erpetoichthys_calabaricus ENSECRG00000000004
hucho_hucho ENSHHUG00000033329
hucho_hucho ENSHHUG00000007306
esox_lucius ENSELUG00000013051
tetraodon_nigroviridis ENSTNIG00000003744
hippocampus_comes ENSHCOG00000006834
fundulus_heteroclitus ENSFHEG00000010973
oryzias_latipes ENSORLG00020021180
oryzias_latipes ENSORLG00000000558
oryzias_latipes ENSORLG00015010179
oryzias_melastigma ENSOMEG00000020505
poecilia_mexicana ENSPMEG00000007400
poecilia_mexicana ENSPMEG00000007397
poecilia_formosa ENSPFOG00000001168
poecilia_latipinna ENSPLAG00000021404
poecilia_reticulata ENSPREG00000006173
xiphophorus_maculatus ENSXMAG00000010137
xiphophorus_couchianus ENSXCOG00000013162
gambusia_affinis ENSGAFG00000001166
larimichthys_crocea ENSLCRG00005008128
takifugu_rubripes ENSTRUG00000022909
amphilophus_citrinellus ENSACIG00000008994
cottoperca_gobio ENSCGOG00000009245
gasterosteus_aculeatus ENSGACG00000013416
mola_mola ENSMMOG00000009818
mastacembelus_armatus ENSMAMG00000019966
monopterus_albus ENSMALG00000010931
anabas_testudineus ENSATEG00000003302
kryptolebias_marmoratus ENSKMAG00000009971
cyprinodon_variegatus ENSCVAG00000008802
parambassis_ranga ENSPRNG00000011563
haplochromis_burtoni ENSHBUG00000002406
astatotilapia_calliptera ENSACLG00000013719
pundamilia_nyererei ENSPNYG00000007551
maylandia_zebra ENSMZEG00005024686
neolamprologus_brichardi ENSNBRG00000006172
oreochromis_niloticus ENSONIG00000001256
amphilophus_citrinellus ENSACIG00000008142
seriola_lalandi ENSSLDG00000017960
seriola_dumerili ENSSDUG00000004519
lates_calcarifer ENSLCAG00010009190
labrus_bergylta ENSLBEG00000010123
cynoglossus_semilaevis ENSCSEG00000014407
scophthalmus_maximus ENSSMAG00000000805
betta_splendens ENSBSLG00000010716
amphiprion_ocellaris ENSAOCG00000000943
amphiprion_percula ENSAPEG00000021869
acanthochromis_polyacanthus ENSAPOG00000020442
stegastes_partitus ENSSPAG00000011780
gouania_willdenowi ENSGWIG00000006945
periophthalmus_magnuspinnatus ENSPMGG00000009228
gadus_morhua ENSGMOG00000016784
clupea_harengus ENSCHAG00000021705
denticeps_clupeoides ENSDCDG00000034625
electrophorus_electricus ENSEEEG00000016346
ictalurus_punctatus ENSIPUG00000011364
astyanax_mexicanus ENSAMXG00000004538
astyanax_mexicanus ENSAMXG00005013624
pygocentrus_nattereri ENSPNAG00000030062
danio_rerio ENSDARG00000039500
scleropages_formosus ENSSFOG00015003161
paramormyrops_kingsleyae ENSPKIG00000004414
lepisosteus_oculatus ENSLOCG00000014588
