heterocephalus_glaber_male ENSHGLG00100020130
castor_canadensis ENSCCNG00000025644
dipodomys_ordii ENSDORG00000027297
castor_canadensis ENSCCNG00000028455
heterocephalus_glaber_female ENSHGLG00000019823
fukomys_damarensis ENSFDAG00000007515
mus_spicilegus ENSMSIG00000029805
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016043
mus_musculus ENSMUSG00000039485
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015235
mus_pahari MGP_PahariEiJ_G0030652
rattus_norvegicus ENSRNOG00000000547
meriones_unguiculatus ENSMUGG00000016253
cricetulus_griseus_crigri ENSCGRG00000019026
cricetulus_griseus_chok1gshd ENSCGRG00001015452
mesocricetus_auratus ENSMAUG00000007306
peromyscus_maniculatus_bairdii ENSPEMG00000031222
microtus_ochrogaster ENSMOCG00000006852
nannospalax_galili ENSNGAG00000013340
jaculus_jaculus ENSJJAG00000003740
urocitellus_parryii ENSUPAG00010000416
ictidomys_tridecemlineatus ENSSTOG00000008940
marmota_marmota_marmota ENSMMMG00000015326
spermophilus_dauricus ENSSDAG00000009953
oryctolagus_cuniculus ENSOCUG00000016118
otolemur_garnettii ENSOGAG00000031495
prolemur_simus ENSPSMG00000025171
pan_troglodytes ENSPTRG00000023905
pan_paniscus ENSPPAG00000025665
gorilla_gorilla ENSGGOG00000025875
homo_sapiens ENSG00000187189
nomascus_leucogenys ENSNLEG00000013105
theropithecus_gelada ENSTGEG00000003789
chlorocebus_sabaeus ENSCSAG00000018973
macaca_mulatta ENSMMUG00000014643
piliocolobus_tephrosceles ENSPTEG00000027379
macaca_fascicularis ENSMFAG00000001386
macaca_nemestrina ENSMNEG00000028445
cercocebus_atys ENSCATG00000041203
mandrillus_leucophaeus ENSMLEG00000036698
papio_anubis ENSPANG00000035333
colobus_angolensis_palliatus ENSCANG00000032960
rhinopithecus_roxellana ENSRROG00000033031
callithrix_jacchus ENSCJAG00000034803
bos_mutus ENSBMUG00000004509
bos_taurus ENSBTAG00000009127
bison_bison_bison ENSBBBG00000009756
ovis_aries ENSOARG00000019974
sus_scrofa ENSSSCG00000004439
equus_asinus_asinus ENSEASG00005008371
equus_caballus ENSECAG00000030611
ursus_americanus ENSUAMG00000024772
ursus_maritimus ENSUMAG00000003828
ailuropoda_melanoleuca ENSAMEG00000019723
neovison_vison ENSNVIG00000006466
mustela_putorius_furo ENSMPUG00000019131
canis_lupus_familiaris ENSCAFG00000023770
canis_lupus_dingo ENSCAFG00020019756
panthera_tigris_altaica ENSPTIG00000006365
panthera_pardus ENSPPRG00000011586
felis_catus ENSFCAG00000013418
pteropus_vampyrus ENSPVAG00000005318
myotis_lucifugus ENSMLUG00000015727
vulpes_vulpes ENSVVUG00000006846
pongo_abelii ENSPPYG00000016945
rhinopithecus_bieti ENSRBIG00000034553
loxodonta_africana ENSLAFG00000010254
dasypus_novemcinctus ENSDNOG00000042279
