cyanistes_caeruleus ENSCCEG00000011800
parus_major ENSPMJG00000009736
junco_hyemalis ENSJHYG00000003631
taeniopygia_guttata ENSTGUG00000003707
lepidothrix_coronata ENSLCOG00000001444
calidris_pygmaea ENSCPGG00000003453
calidris_pugnax ENSCPUG00000017069
gallus_gallus ENSGALG00000027860
meleagris_gallopavo ENSMGAG00000011361
numida_meleagris ENSNMEG00000007822
apteryx_rowi ENSARWG00000017840
apteryx_haastii ENSAHAG00000014230
dromaius_novaehollandiae ENSDNVG00000007615
chrysemys_picta_bellii ENSCPBG00000003624
pelodiscus_sinensis ENSPSIG00000007331
sphenodon_punctatus ENSSPUG00000011222
melopsittacus_undulatus ENSMUNG00000002255
lonchura_striata_domestica ENSLSDG00000008077
notechis_scutatus ENSNSUG00000012687
gopherus_agassizii ENSGAGG00000000286
chelonoidis_abingdonii ENSCABG00000019402
canis_lupus_dingo ENSCAFG00020020140
vulpes_vulpes ENSVVUG00000018018
canis_lupus_dingo ENSCAFG00020001767
castor_canadensis ENSCCNG00000014950
octodon_degus ENSODEG00000003450
saimiri_boliviensis_boliviensis ENSSBOG00000024447
aotus_nancymaae ENSANAG00000029711
peromyscus_maniculatus_bairdii ENSPEMG00000029109
serinus_canaria ENSSCAG00000013330
zonotrichia_albicollis ENSZALG00000005589
spermophilus_dauricus ENSSDAG00000018551
equus_asinus_asinus ENSEASG00005018538
notamacropus_eugenii ENSMEUG00000000826
pogona_vitticeps ENSPVIG00000006468
felis_catus ENSFCAG00000034590
anser_brachyrhynchus ENSABRG00000008187
ficedula_albicollis ENSFALG00000008179
cricetulus_griseus_crigri ENSCGRG00000006838
mus_spicilegus ENSMSIG00000016265
cavia_aperea ENSCAPG00000016793
anas_platyrhynchos_platyrhynchos ENSAPLG00000000597
dipodomys_ordii ENSDORG00000029271
nannospalax_galili ENSNGAG00000020276
piliocolobus_tephrosceles ENSPTEG00000035839
piliocolobus_tephrosceles ENSPTEG00000011738
colobus_angolensis_palliatus ENSCANG00000038986
