prolemur_simus ENSPSMG00000020791
otolemur_garnettii ENSOGAG00000011387
pan_paniscus ENSPPAG00000023726
pan_troglodytes ENSPTRG00000051462
homo_sapiens ENSG00000187372
nomascus_leucogenys ENSNLEG00000018472
rhinopithecus_bieti ENSRBIG00000033637
piliocolobus_tephrosceles ENSPTEG00000027553
colobus_angolensis_palliatus ENSCANG00000008670
papio_anubis ENSPANG00000011661
saimiri_boliviensis_boliviensis ENSSBOG00000035838
callithrix_jacchus ENSCJAG00000023016
mus_musculus ENSMUSG00000047910
mus_spicilegus ENSMSIG00000001684
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023082
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022172
mus_pahari MGP_PahariEiJ_G0018906
meriones_unguiculatus ENSMUGG00000024131
cricetulus_griseus_chok1gshd ENSCGRG00001011721
cricetulus_griseus_crigri-picr ENSCGRG00015000248
jaculus_jaculus ENSJJAG00000005748
urocitellus_parryii ENSUPAG00010008078
marmota_marmota_marmota ENSMMMG00000011404
spermophilus_dauricus ENSSDAG00000019192
ictidomys_tridecemlineatus ENSSTOG00000029492
heterocephalus_glaber_female ENSHGLG00000018412
octodon_degus ENSODEG00000012740
pteropus_vampyrus ENSPVAG00000002362
myotis_lucifugus ENSMLUG00000000910
equus_asinus_asinus ENSEASG00005018120
equus_caballus ENSECAG00000034732
bos_mutus ENSBMUG00000016753
bison_bison_bison ENSBBBG00000002046
capra_hircus ENSCHIG00000025739
tursiops_truncatus ENSTTRG00000004944
panthera_tigris_altaica ENSPTIG00000018426
panthera_pardus ENSPPRG00000013569
ailuropoda_melanoleuca ENSAMEG00000010724
procavia_capensis ENSPCAG00000002853
