sphenodon_punctatus ENSSPUG00000017880
apteryx_haastii ENSAHAG00000005051
gorilla_gorilla ENSGGOG00000036500
pan_troglodytes ENSPTRG00000043911
papio_anubis ENSPANG00000029905
acanthochromis_polyacanthus ENSAPOG00000002750
stegastes_partitus ENSSPAG00000016979
maylandia_zebra ENSMZEG00005007589
pundamilia_nyererei ENSPNYG00000017744
neolamprologus_brichardi ENSNBRG00000011839
amphilophus_citrinellus ENSACIG00000008702
monopterus_albus ENSMALG00000017669
anabas_testudineus ENSATEG00000012340
hippocampus_comes ENSHCOG00000011812
cynoglossus_semilaevis ENSCSEG00000007578
poecilia_latipinna ENSPLAG00000015823
kryptolebias_marmoratus ENSKMAG00000016023
seriola_dumerili ENSSDUG00000001703
mastacembelus_armatus ENSMAMG00000012230
astyanax_mexicanus ENSAMXG00000039716
scleropages_formosus ENSSFOG00015006335
eptatretus_burgeri ENSEBUG00000015131
