amphiprion_percula ENSAPEG00000007157
amphiprion_ocellaris ENSAOCG00000020939
acanthochromis_polyacanthus ENSAPOG00000011084
acanthochromis_polyacanthus ENSAPOG00000000729
acanthochromis_polyacanthus ENSAPOG00000018351
stegastes_partitus ENSSPAG00000018379
amphilophus_citrinellus ENSACIG00000000966
poecilia_formosa ENSPFOG00000024025
poecilia_reticulata ENSPREG00000009043
gambusia_affinis ENSGAFG00000017999
mola_mola ENSMMOG00000016721
seriola_lalandi_dorsalis ENSSLDG00000010747
pygocentrus_nattereri ENSPNAG00000001544
astyanax_mexicanus ENSAMXG00000042955
ictalurus_punctatus ENSIPUG00000009337
lepisosteus_oculatus ENSLOCG00000017719
latimeria_chalumnae ENSLACG00000012152
