pan_troglodytes ENSPTRG00000009759
pan_paniscus ENSPPAG00000028723
gorilla_gorilla ENSGGOG00000040343
nomascus_leucogenys ENSNLEG00000013378
macaca_nemestrina ENSMNEG00000043367
macaca_mulatta ENSMMUG00000007241
macaca_fascicularis ENSMFAG00000037671
cercocebus_atys ENSCATG00000035891
papio_anubis ENSPANG00000019489
mandrillus_leucophaeus ENSMLEG00000035879
chlorocebus_sabaeus ENSCSAG00000002280
rhinopithecus_roxellana ENSRROG00000029569
rhinopithecus_bieti ENSRBIG00000043600
colobus_angolensis_palliatus ENSCANG00000031010
saimiri_boliviensis_boliviensis ENSSBOG00000022654
tursiops_truncatus ENSTTRG00000017284
