monopterus_albus ENSMALG00000000084
anabas_testudineus ENSATEG00000005850
periophthalmus_magnuspinnatus ENSPMGG00000022326
labrus_bergylta ENSLBEG00000012289
hippocampus_comes ENSHCOG00000010348
maylandia_zebra ENSMZEG00005014175
pundamilia_nyererei ENSPNYG00000016080
haplochromis_burtoni ENSHBUG00000012957
neolamprologus_brichardi ENSNBRG00000002523
gambusia_affinis ENSGAFG00000002061
xiphophorus_couchianus ENSXCOG00000006739
poecilia_latipinna ENSPLAG00000020058
stegastes_partitus ENSSPAG00000003908
esox_lucius ENSELUG00000003873
