cyprinodon_variegatus ENSCVAG00000019841
periophthalmus_magnuspinnatus ENSPMGG00000016298
mola_mola ENSMMOG00000017486
cynoglossus_semilaevis ENSCSEG00000020383
tetraodon_nigroviridis ENSTNIG00000006348
takifugu_rubripes ENSTRUG00000009720
gasterosteus_aculeatus ENSGACG00000019214
labrus_bergylta ENSLBEG00000000837
anabas_testudineus ENSATEG00000015983
scophthalmus_maximus ENSSMAG00000015592
seriola_lalandi_dorsalis ENSSLDG00000008318
seriola_dumerili ENSSDUG00000001463
monopterus_albus ENSMALG00000022703
gambusia_affinis ENSGAFG00000019626
xiphophorus_maculatus ENSXMAG00000010982
poecilia_formosa ENSPFOG00000009832
poecilia_mexicana ENSPMEG00000023332
fundulus_heteroclitus ENSFHEG00000007176
kryptolebias_marmoratus ENSKMAG00000007771
oryzias_latipes_asm223469v1 ENSORLG00015000366
oryzias_latipes ENSORLG00000010824
oryzias_latipes ENSORLG00020017891
oryzias_melastigma ENSOMEG00000020186
amphiprion_ocellaris ENSAOCG00000005819
acanthochromis_polyacanthus ENSAPOG00000017008
stegastes_partitus ENSSPAG00000023058
maylandia_zebra ENSMZEG00005017607
haplochromis_burtoni ENSHBUG00000005381
astatotilapia_calliptera ENSACLG00000004291
oreochromis_niloticus ENSONIG00000011588
amphilophus_citrinellus ENSACIG00000021504
hippocampus_comes ENSHCOG00000013043
gadus_morhua ENSGMOG00000000666
esox_lucius ENSELUG00000014382
pygocentrus_nattereri ENSPNAG00000018057
astyanax_mexicanus ENSAMXG00000035150
ictalurus_punctatus ENSIPUG00000017131
danio_rerio ENSDARG00000103996
scleropages_formosus ENSSFOG00015002583
paramormyrops_kingsleyae ENSPKIG00000020315
lepisosteus_oculatus ENSLOCG00000012111
pogona_vitticeps ENSPVIG00000021706
anolis_carolinensis ENSACAG00000016212
notechis_scutatus ENSNSUG00000011031
salvator_merianae ENSSMRG00000003308
sphenodon_punctatus ENSSPUG00000008457
apteryx_owenii ENSAOWG00000004891
apteryx_rowi ENSARWG00000004809
apteryx_haastii ENSAHAG00000016512
dromaius_novaehollandiae ENSDNVG00000013939
meleagris_gallopavo ENSMGAG00000002088
gallus_gallus ENSGALG00000001942
coturnix_japonica ENSCJPG00005007277
numida_meleagris ENSNMEG00000015683
