salvator_merianae ENSSMRG00000015194
notechis_scutatus ENSNSUG00000003352
anser_brachyrhynchus ENSABRG00000021095
nothoprocta_perdicaria ENSNPEG00000015827
castor_canadensis ENSCCNG00000003375
dipodomys_ordii ENSDORG00000010859
cricetulus_griseus_chok1gshd ENSCGRG00001008627
cricetulus_griseus_crigri-picr ENSCGRG00015014574
mesocricetus_auratus ENSMAUG00000018780
microtus_ochrogaster ENSMOCG00000011667
peromyscus_maniculatus_bairdii ENSPEMG00000010782
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028539
mus_spicilegus ENSMSIG00000031587
mus_musculus ENSMUSG00000068327
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029545
mus_pahari MGP_PahariEiJ_G0022274
rattus_norvegicus ENSRNOG00000061571
rattus_norvegicus ENSRNOG00000055188
nannospalax_galili ENSNGAG00000022815
jaculus_jaculus ENSJJAG00000020098
chinchilla_lanigera ENSCLAG00000004657
octodon_degus ENSODEG00000012439
cavia_porcellus ENSCPOG00000019512
heterocephalus_glaber_male ENSHGLG00100012004
heterocephalus_glaber_female ENSHGLG00000005792
fukomys_damarensis ENSFDAG00000010028
spermophilus_dauricus ENSSDAG00000017988
marmota_marmota_marmota ENSMMMG00000004825
ictidomys_tridecemlineatus ENSSTOG00000001045
urocitellus_parryii ENSUPAG00010016603
oryctolagus_cuniculus ENSOCUG00000015369
ochotona_princeps ENSOPRG00000014031
propithecus_coquereli ENSPCOG00000015737
microcebus_murinus ENSMICG00000048139
prolemur_simus ENSPSMG00000020437
otolemur_garnettii ENSOGAG00000015851
gorilla_gorilla ENSGGOG00000006302
homo_sapiens ENSG00000115297
pan_paniscus ENSPPAG00000033023
pan_troglodytes ENSPTRG00000012095
pongo_abelii ENSPPYG00000012269
nomascus_leucogenys ENSNLEG00000000766
papio_anubis ENSPANG00000011215
chlorocebus_sabaeus ENSCSAG00000015661
cercocebus_atys ENSCATG00000035266
macaca_nemestrina ENSMNEG00000006060
macaca_fascicularis ENSMFAG00000031596
rhinopithecus_bieti ENSRBIG00000035612
rhinopithecus_roxellana ENSRROG00000045279
colobus_angolensis_palliatus ENSCANG00000020012
saimiri_boliviensis_boliviensis ENSSBOG00000036131
cebus_capucinus ENSCCAG00000027997
callithrix_jacchus ENSCJAG00000017424
aotus_nancymaae ENSANAG00000038149
bos_mutus ENSBMUG00000013056
bison_bison_bison ENSBBBG00000020678
ovis_aries ENSOARG00000012758
capra_hircus ENSCHIG00000024679
tursiops_truncatus ENSTTRG00000012724
sus_scrofa ENSSSCG00000022499
pteropus_vampyrus ENSPVAG00000013963
ursus_americanus ENSUAMG00000021693
ursus_maritimus ENSUMAG00000001664
ailuropoda_melanoleuca ENSAMEG00000017209
neovison_vison ENSNVIG00000020162
mustela_putorius_furo ENSMPUG00000008116
canis_lupus_dingo ENSCAFG00020014080
canis_lupus_familiaris ENSCAFG00000008445
vulpes_vulpes ENSVVUG00000004334
felis_catus ENSFCAG00000033678
panthera_pardus ENSPPRG00000007958
equus_caballus ENSECAG00000011088
equus_asinus_asinus ENSEASG00005010649
vicugna_pacos ENSVPAG00000007906
meriones_unguiculatus ENSMUGG00000021946
carlito_syrichta ENSTSYG00000001607
loxodonta_africana ENSLAFG00000018364
procavia_capensis ENSPCAG00000016937
dasypus_novemcinctus ENSDNOG00000019906
phascolarctos_cinereus ENSPCIG00000006056
notamacropus_eugenii ENSMEUG00000013228
sarcophilus_harrisii ENSSHAG00000016847
monodelphis_domestica ENSMODG00000004894
