caenorhabditis_elegans WBGene00009004
drosophila_melanogaster FBgn0036918
pogona_vitticeps ENSPVIG00000003923
pogona_vitticeps ENSPVIG00000003950
notechis_scutatus ENSNSUG00000005338
salvator_merianae ENSSMRG00000003728
salvator_merianae ENSSMRG00000000135
anolis_carolinensis ENSACAG00000003551
anolis_carolinensis ENSACAG00000004292
gallus_gallus ENSGALG00000048705
cyanistes_caeruleus ENSCCEG00000002167
nothoprocta_perdicaria ENSNPEG00000004249
gopherus_agassizii ENSGAGG00000013911
chelonoidis_abingdonii ENSCABG00000000938
chrysemys_picta ENSCPBG00000004026
heterocephalus_glaber ENSHGLG00000017170
heterocephalus_glaber ENSHGLG00100010956
fukomys_damarensis ENSFDAG00000005098
cavia_porcellus ENSCPOG00000019520
octodon_degus ENSODEG00000006260
octodon_degus ENSODEG00000017521
octodon_degus ENSODEG00000006863
octodon_degus ENSODEG00000017649
chinchilla_lanigera ENSCLAG00000010475
ochotona_princeps ENSOPRG00000000888
ochotona_princeps ENSOPRG00000000983
ochotona_princeps ENSOPRG00000002745
oryctolagus_cuniculus ENSOCUG00000010559
canis_lupus ENSCAFG00020019796
vulpes_vulpes ENSVVUG00000008894
bison_bison ENSBBBG00000006997
bos_mutus ENSBMUG00000020670
sorex_araneus ENSSARG00000006330
otolemur_garnettii ENSOGAG00000028341
otolemur_garnettii ENSOGAG00000006235
propithecus_coquereli ENSPCOG00000015448
prolemur_simus ENSPSMG00000018609
microcebus_murinus ENSMICG00000000922
tupaia_belangeri ENSTBEG00000013280
ursus_maritimus ENSUMAG00000012363
ursus_americanus ENSUAMG00000026943
ailuropoda_melanoleuca ENSAMEG00000001576
mustela_putorius ENSMPUG00000002364
neovison_vison ENSNVIG00000012998
canis_lupus ENSCAFG00000017742
canis_lupus ENSCAFG00000020325
canis_lupus ENSCAFG00020001835
canis_lupus ENSCAFG00000000956
canis_lupus ENSCAFG00020003316
vulpes_vulpes ENSVVUG00000025545
felis_catus ENSFCAG00000046037
felis_catus ENSFCAG00000028199
panthera_tigris ENSPTIG00000005409
panthera_pardus ENSPPRG00000005109
equus_caballus ENSECAG00000026908
equus_asinus ENSEASG00005020828
bos_indicus ENSBIXG00005014270
bos_indicus ENSBIXG00000007022
bos_taurus ENSBTAG00000010723
bos_mutus ENSBMUG00000008885
bison_bison ENSBBBG00000014925
capra_hircus ENSCHIG00000021078
ovis_aries ENSOARG00000009232
capra_hircus ENSCHIG00000018251
tursiops_truncatus ENSTTRG00000004306
sus_scrofa ENSSSCG00000001505
dipodomys_ordii ENSDORG00000013828
dipodomys_ordii ENSDORG00000029836
castor_canadensis ENSCCNG00000026608
mus_spicilegus ENSMSIG00000012469
mus_musculus ENSMUSG00000024309
mus_spretus MGP_SPRETEiJ_G0022337
mus_caroli MGP_CAROLIEiJ_G0021425
mus_spicilegus ENSMSIG00000016102
mus_pahari MGP_PahariEiJ_G0020430
rattus_norvegicus ENSRNOG00000000473
meriones_unguiculatus ENSMUGG00000018039
cricetulus_griseus ENSCGRG00015028562
cricetulus_griseus ENSCGRG00000016589
cricetulus_griseus ENSCGRG00001001849
mesocricetus_auratus ENSMAUG00000014806
peromyscus_maniculatus ENSPEMG00000005228
microtus_ochrogaster ENSMOCG00000022424
nannospalax_galili ENSNGAG00000004185
jaculus_jaculus ENSJJAG00000009874
ictidomys_tridecemlineatus ENSSTOG00000027428
urocitellus_parryii ENSUPAG00010013562
spermophilus_dauricus ENSSDAG00000018979
marmota_marmota ENSMMMG00000024238
spermophilus_dauricus ENSSDAG00000017339
carlito_syrichta ENSTSYG00000034235
carlito_syrichta ENSTSYG00000037267
pteropus_vampyrus ENSPVAG00000001910
pan_troglodytes ENSPTRG00000018041
pan_paniscus ENSPPAG00000026096
gorilla_gorilla ENSGGOG00000006583
homo_sapiens ENSG00000204220
pongo_abelii ENSPPYG00000017246
nomascus_leucogenys ENSNLEG00000034338
macaca_nemestrina ENSMNEG00000030272
macaca_fascicularis ENSMFAG00000041216
macaca_mulatta ENSMMUG00000003871
mandrillus_leucophaeus ENSMLEG00000033252
theropithecus_gelada ENSTGEG00000029468
papio_anubis ENSPANG00000025458
cercocebus_atys ENSCATG00000032725
chlorocebus_sabaeus ENSCSAG00000009556
colobus_angolensis ENSCANG00000035576
piliocolobus_tephrosceles ENSPTEG00000023707
rhinopithecus_bieti ENSRBIG00000012271
rhinopithecus_roxellana ENSRROG00000043403
cebus_capucinus ENSCCAG00000027108
saimiri_boliviensis ENSSBOG00000034801
aotus_nancymaae ENSANAG00000024231
callithrix_jacchus ENSCJAG00000021665
aotus_nancymaae ENSANAG00000034923
myotis_lucifugus ENSMLUG00000007450
loxodonta_africana ENSLAFG00000012967
procavia_capensis ENSPCAG00000006019
choloepus_hoffmanni ENSCHOG00000003760
dasypus_novemcinctus ENSDNOG00000036182
vombatus_ursinus ENSVURG00010015063
phascolarctos_cinereus ENSPCIG00000030045
notamacropus_eugenii ENSMEUG00000016778
monodelphis_domestica ENSMODG00000014191
sarcophilus_harrisii ENSSHAG00000007224
xenopus_tropicalis ENSXETG00000019748
latimeria_chalumnae ENSLACG00000008272
astyanax_mexicanus ENSAMXG00000041538
astyanax_mexicanus ENSAMXG00005023066
pygocentrus_nattereri ENSPNAG00000020541
electrophorus_electricus ENSEEEG00000020005
ictalurus_punctatus ENSIPUG00000021506
danio_rerio ENSDARG00000037108
hucho_hucho ENSHHUG00000042969
esox_lucius ENSELUG00000009738
cyprinodon_variegatus ENSCVAG00000018951
fundulus_heteroclitus ENSFHEG00000015772
poecilia_latipinna ENSPLAG00000000917
poecilia_formosa ENSPFOG00000001138
poecilia_mexicana ENSPMEG00000009392
poecilia_reticulata ENSPREG00000022202
xiphophorus_maculatus ENSXMAG00000022074
gambusia_affinis ENSGAFG00000001260
kryptolebias_marmoratus ENSKMAG00000014819
oryzias_latipes ENSORLG00000010004
oryzias_latipes ENSORLG00015013726
oryzias_latipes ENSORLG00020018940
oryzias_melastigma ENSOMEG00000015407
gouania_willdenowi ENSGWIG00000025808
amphiprion_ocellaris ENSAOCG00000003562
amphiprion_percula ENSAPEG00000009090
acanthochromis_polyacanthus ENSAPOG00000013345
stegastes_partitus ENSSPAG00000022622
maylandia_zebra ENSMZEG00005006341
astatotilapia_calliptera ENSACLG00000023348
pundamilia_nyererei ENSPNYG00000000094
haplochromis_burtoni ENSHBUG00000000828
neolamprologus_brichardi ENSNBRG00000020755
oreochromis_niloticus ENSONIG00000017598
amphilophus_citrinellus ENSACIG00000021807
cynoglossus_semilaevis ENSCSEG00000017251
hippocampus_comes ENSHCOG00000004080
mola_mola ENSMMOG00000009786
takifugu_rubripes ENSTRUG00000003999
larimichthys_crocea ENSLCRG00005018697
labrus_bergylta ENSLBEG00000016513
cottoperca_gobio ENSCGOG00000005838
gasterosteus_aculeatus ENSGACG00000018616
parambassis_ranga ENSPRNG00000009291
anabas_testudineus ENSATEG00000018997
betta_splendens ENSBSLG00000008293
monopterus_albus ENSMALG00000011023
seriola_dumerili ENSSDUG00000012507
seriola_lalandi ENSSLDG00000023681
lates_calcarifer ENSLCAG00010024332
mastacembelus_armatus ENSMAMG00000015921
scophthalmus_maximus ENSSMAG00000012335
periophthalmus_magnuspinnatus ENSPMGG00000002346
denticeps_clupeoides ENSDCDG00000016070
denticeps_clupeoides ENSDCDG00000007539
clupea_harengus ENSCHAG00000007429
paramormyrops_kingsleyae ENSPKIG00000006700
scleropages_formosus ENSSFOG00015018089
lepisosteus_oculatus ENSLOCG00000000454
erpetoichthys_calabaricus ENSECRG00000000570
callorhinchus_milii ENSCMIG00000003839
ciona_intestinalis ENSCING00000006994
saccharomyces_cerevisiae YLR200W
